premise,hypothesis,label,o_index,id
a kid is throwing away an instrument,a young boy is playing a wind instrument,neutral,163,3174
a man is trekking in the woods,the man is not hiking in the woods,neutral,164,3181
there is no boy walking across a bridge,a boy is walking across a bridge,contradiction,165,3222
a woman is placing two eggs into a pot of water,a woman is putting two eggs into a pot of water,entailment,166,3250
a man is playing the guitar,nobody is playing the guitar,contradiction,167,3258
a child is running in and out of the waves of the ocean,a child is running in and out of the ocean waves,entailment,168,3275
a woman is putting away carrots,a woman is coating a pork chop,neutral,169,3291
a woman is grating carrots,a cook is coating a pork chop,neutral,170,3292
the woman is chopping some bread and fried pork,a woman is cooking a breaded pork chop,neutral,171,3322
there is no man standing on a roof top and playing a violin,a man is standing on a roof top and playing a violin,contradiction,172,3338
a woman is cleaning a shrimp,the woman is cleaning a shrimp,entailment,173,3364
a woman is riding a water scooter,a woman is riding a scooter for water,entailment,174,3373
a panda bear is eating some bamboo,some bamboo is being eaten by a panda bear,entailment,175,3384
someone is beating an egg,the woman isnt stirring eggs in a bowl,neutral,176,3398
a woman is deboning a fish,a big fish is catching a man,neutral,177,3420
a tray is being buttered by a person,a person is buttering a tray,entailment,178,3433
the man is chopping a tree trunk with an axe,a man is chopping a log with an axe,neutral,179,3459
the cat is looking out the window at the table on the perch,the cat perched on the table is looking out the window,neutral,180,3485
a dog is licking a baby,the dog is licking the baby,entailment,181,3501
a woman is putting away the garlic,a woman is chopping up garlic,neutral,182,3505
the man is not dancing,a woman is dancing,neutral,183,3518
someone is cooking okra in a pan,okra is being cooked in a pan,entailment,184,3536
a man is playing the drum,a man is practicing the drum,entailment,185,3586
one man is doing floor exercises,a man is doing exercises,entailment,186,3598
a woman is putting meat in a pan,there is no woman putting meat in a pan,contradiction,187,3625
someone is dropping the meat into a pan,the meat is being dropped into a pan,entailment,188,3626
a boy is filling a pitcher with water,a pitcher is being filled with water by a boy,entailment,189,3657
a woman is collecting the water from a tap in a mug,a boy is filling a pitcher with water,neutral,190,3661
it is raining on a walking man,a man is walking in the rain,entailment,191,3670
racers are running down a track,there are no racers running down a track,contradiction,192,3680
a toy train is striking a toy car,a toy train is missing a toy car,contradiction,193,3711
the person is slicing onions,onions are being sliced by the person,entailment,194,3721
swimmers are racing in a lake,some racers are swimming in a lake,entailment,195,3733
a talented man is playing the guitar,a woman is playing a guitar,neutral,196,3747
a person is scrubbing a zucchini,the person is scrubbing a zucchini,entailment,197,3790
a woman is slicing a pepper which is green,a woman is slicing a green pepper,entailment,198,3812
a man is stopping in the middle of a road,a man is walking down a road,neutral,199,3855
a man from the wilderness is on a walking path,a man is walking down a road,neutral,200,3861
the man is walking along a path through the wilderness,a man is lazily walking down a road,neutral,201,3862
a man is dancing on the ceiling of a room,the man is dancing upsidedown on the ceiling,entailment,202,3880
there is no man exercising,a man is exercising,contradiction,203,3897
the man is singing and playing the guitar,the guitar is being played by a man,entailment,204,3909
a man is packing the guitar,the man is singing and playing the guitar,neutral,205,3910
boys are not dancing in front of some people,boys are dancing in front of some people,contradiction,206,3922
a boy is looking at a calendar,there is no boy checking a calendar,contradiction,207,3941
a woman is peeling a potato,a woman is refrigerating a potato,neutral,208,3982
there is no man singing and playing a guitar,a boy is playing a piano,neutral,209,3996
a man is recklessly climbing a rope,a man is climbing a rope,entailment,210,4001
a man is climbing a rope,the man is climbing up a rope,entailment,211,4006
a man is climbing a rope,a man is climbing up a rope,entailment,212,4011
the lady is picking up the kangaroo,the woman is picking up the kangaroo,entailment,213,4015
a man is breaking tiles with his hands,there is no man breaking wooden boards with his hand,neutral,214,4031
a dog is running breathlessly on the road,a dog is running on the road,entailment,215,4054
a man is running on the road,a dog is running breathlessly on the road,neutral,216,4060
the man is hurling knives at a tree,the man is throwing knives at a tree,entailment,217,4066
the man is removing knives from a tree,the man is throwing knives at a tree,neutral,218,4067
one man is riding a horse,a man is riding a horse,entailment,219,4079
there is no man drawing a picture,a man is drawing a picture,contradiction,220,4086
there is no man eating food,a man is eating a pizza,contradiction,221,4114
a dog is bouncing on a trampoline,a dog is jumping on a trampoline,entailment,222,4135
several boys are jumping on a trampoline,a man is doing back flips on a trampoline,neutral,223,4140
a man is playing a wooden flute,there is no man playing a wooden flute,contradiction,224,4155
there is no man playing the piano,a man is playing the piano,contradiction,225,4157
the man is erasing the drawing on the board,the woman is erasing the drawing on the board,neutral,226,4164
there is no dog playing with a toy,a dog is eating a doll,contradiction,227,4187
a dog is eating a doll,a dog is playing with a toy,neutral,228,4191
a man is dancing,a man is praying fervently,neutral,229,4196
the woman is slicing cooked octopus,a woman is chopping up an octopus,entailment,230,4288
a man is drawing,there is no man drawing,contradiction,231,4321
the man is drawing,there is no man drawing,contradiction,232,4330
a man is eating a banana,a man is eating a fruit,entailment,233,4342
a man is cutting a note,a man is cutting a paper,entailment,234,4360
a man is playing a guitar,there is no one playing a piano,neutral,235,4376
two men in a race are flipping the tires of a tractor,two men are competing in a tire rolling race,neutral,236,4411
the men are talking,some old women are talking,neutral,237,4429
a man is punching a soccer ball,a man is mixing the content of a bowl,neutral,238,4477
the doctors are healing a man,the doctor is helping the patient,entailment,239,4505
there is no man playing a guitar,a man is playing a guitar,contradiction,240,4520
there is no man driving a car,a man is driving a car,contradiction,241,4614
a keyboard is being played by a man,a man is playing a harp,neutral,242,4638
a man is cutting a thick rope with a sword,there is no man cutting a rope with a sword,contradiction,243,4650
a woman is slicing a potato,a woman is cutting a potato,entailment,244,4661
a group of men is playing soccer on the beach,a group of boys is playing soccer on the beach,neutral,245,4707
a man is fitting a silencer to a pistol,a man is applying a silencer to a gun,entailment,246,4734
the girl is sitting on the couch and is crocheting,there is no girl playing the violin on a beach,neutral,247,4755
a man is cooking a snake,there is no man cooking a snake,contradiction,248,4767
there is no boy playing guitar,a boy is playing guitar,contradiction,249,4776
there is no monkey teasing a dog at the zoo,a monkey is teasing a dog at the zoo,contradiction,250,4803
a monkey is pulling a dogs tail,a monkey is teasing a dog at the zoo,neutral,251,4814
there is no person cutting some ginger,a person is cutting some ginger,contradiction,252,4816
a person is cutting some ginger,a person is slicing an onion,neutral,253,4823
a man is slicing a potato into pieces,a man is not cutting a potato,contradiction,254,4831
a man is opening a box with a knife,there is no man opening a box with a knife,contradiction,255,4843
some instruments are being played by a band,a band is playing some instruments,entailment,256,4851
a band is not playing some instruments,a band is playing some instruments,contradiction,257,4852
a person is dancing,a woman is exercising,neutral,258,4866
a man is doing pullups,the man is doing exercises in a gym,neutral,259,4891
a man is singing and playing a guitar,a man is singing and playing a musical instrument,entailment,260,4916
recruits are talking to an officer,an officer is talking to the recruits,neutral,261,4934
garlic is being chopped by a woman,a woman is chopping garlic,entailment,262,4963
a woman is slicing a fish,there is no woman slicing a fish,contradiction,263,4966
a woman is riding a horse,a horse is being ridden by a woman,entailment,264,4983
a big cat is opening a plastic drawer with its paws and is jumping inside,a cat is opening a drawer and jumping inside,entailment,265,5003
the man is talking on the telephone,the man is speaking on the telephone,entailment,266,5030
a man is cutting onions,a woman is cutting an onion,neutral,267,5047
a man is opening a door,there is no man opening a door,contradiction,268,5051
a door is being opened by a man,a man is cutting an onion,neutral,269,5052
a woman is playing the violin,there is no man playing the piano,neutral,270,5082
a chef is preparing some food,a chef is preparing a meal,entailment,271,5110
two sumo ringers are fighting,two sumo wrestlers are fighting,entailment,272,5113
two sumo ringers are fighting,a man is riding a water toy in the water,neutral,273,5119
a man is buttering a piece of bread,a woman is buttering a piece of bread,neutral,274,5148
the woman is putting pasta into a dish,pasta is being put into a dish by a woman,entailment,275,5203
a woman is pulling some sticky goo out of a bowl,the woman is not putting pasta into a dish,neutral,276,5206
there is no girl playing a flute,a girl is playing a flute,contradiction,277,5310
a large flute is being played by a man,a man is playing a flute,entailment,278,5349
a man is playing a large flute,there is no man playing a flute,contradiction,279,5352
an octopus is being sliced by a woman,a woman is slicing an octopus,entailment,280,5374
a man is playing a flute,a man is not playing a flute,contradiction,281,5454
a woman is playing the flute,a man is playing a flute,neutral,282,5461
a woman is cutting a lemon,a woman is cutting fruit,entailment,283,5498
a group of people are dancing in a show,a group of people are marching,neutral,284,5540
a cupcake is being eaten by a girl,a girl is eating a cupcake,entailment,285,5588
a person is eating in a restaurant,a person is making a bed,neutral,286,5657
the cook is sprinkling cheese on the pizza,the man is sprinkling cheese on the pizza,neutral,287,5698
a man is reloading a shotgun,a man is firing a shotgun,neutral,288,5706
a tiger cub is playing with a ball,a baby is playing with a doll,neutral,289,5745
a baby is playing with a toy,a baby tiger is playing with a ball,neutral,290,5747
a person is peeling a potato,a potato is being peeled by a person,entailment,291,5799
a man is rowing a canoe,a man is rowing a boat,entailment,292,5806
a man and a woman are driving down the street in a jeep,a man and a woman are driving down the road in an openair vehicle,neutral,293,5904
a woman is pouring ingredients into a bowl,the chef is seasoning the oil,neutral,294,5909
a horse is being ridden by a person,a person is riding a horse,entailment,295,5914
a horse is being ridden by a person,a woman is slicing potatoes,neutral,296,5920
the man is not doing exercises,the man is doing exercises,contradiction,297,5924
the man is not doing exercises,two men are fighting,neutral,298,5930
vegetables are being put into a pot by a man,someone is pouring ingredients into a pot,entailment,299,5938
a dog is leaving a ball in the dirt,a dog is chasing a ball through dirt,neutral,300,5955
there is no brown dog standing in the water,a dog with golden fur is in the water,neutral,301,6001
a young girl in a blue shirt is walking on the sidewalk and holding up a pink sign,a young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk,neutral,302,6005
the small child is walking through the water and is being guided by another person,a young child is splashing in the water,neutral,303,6042
a man and a woman are in a room painted beige wearing dark colored shirts and a monitor is in the background,a man and a woman are in a beige room wearing dark colored shirts and a monitor is in the background,entailment,304,6047
a person wearing jeans is sitting happily on the top of a horse saddle,a woman in jeans is sitting on the saddle of a horse,neutral,305,6078
a brown and white dog is holding a baseball in its mouth,a black and white dog is dropping a baseball from its mouth,neutral,306,6119
a young boy wearing a red swimsuit is jumping into a blue kiddies pool,a boy wearing red shorts is jumping into a paddling pool,neutral,307,6131
two people are standing in the ocean and watching the sunset,nobody is standing in the ocean and watching the sunset,contradiction,308,6146
a race car driver is standing up and pointing his hand at the sky,a race car driver is sitting down and is motionless,neutral,309,6153
a race car driver is standing up and is fiercely pointing his hand at the sky,the person in the blue jacket is wearing a colorful helmet,neutral,310,6158
a bicyclist is holding a bike over his head in a group of people,a cyclist is being held over the heads of a group of people with the bike,neutral,311,6203
a man is sitting on a boat in font of the sunset near a flag,a man is standing on a boat in front of the sunset near a flag,neutral,312,6213
a man is standing on a boat in front of the sunset near a flag,a man is on a boat in front of the sunset,entailment,313,6219
people at a drag race are running away from the flames that are coming out of the cars,the crowd is watching two racing cars that are leaving the starting line,neutral,314,6228
two dogs are playing together on the grass,two dogs are resting together in the grass,neutral,315,6231
a dog which is black is running in the grass,a black dog is running in the grass,entailment,316,6280
a black dog is running in the grass and its tongue is hanging out,a black dog is running in the grass,entailment,317,6287
a yellow dog is running on white snow on a very sunny day,a yellow dog is running on white snow on a sunny day,entailment,318,6315
a girl is wearing jeans and a pink shirt and is running,a little boy in a pink shirt is running under a tree in the desert,neutral,319,6330
a white dog is wearing a christmas reindeer headband and is playing with a brown dog in the grass,the white reindeer wearing dog ears is near a brown reindeer,neutral,320,6344
the woman in a red costume is leaning against a brick wall and playing an instrument,the woman in a red costume is not leaning against a brick wall and is not playing an instrument,contradiction,321,6358
a waterfall is flowing into a shallow pool,the people are walking on the road beside a beautiful waterfall,neutral,322,6394
a dog is scattering a pack of white sheep on a dusty farm,a dog is herding a pack of white sheep on a dusty farm,neutral,323,6396
a little boy is wearing a yellow tank top and is laughing,a laughing boy is in a yellow tank and is wearing a top,neutral,324,6450
the person is not standing on white ice,a person is standing in a vast field of glacial ice,neutral,325,6482
the ice hockey goalkeeper is wearing a yellow jersey and is defending the goal,there is no hockey player in a yellow jersey guarding the goal,contradiction,326,6544
a woman is wearing a blue helmet and is riding a bicycle in a parking lot,a woman is parking a blue bicycle and is wearing lots of riding helmets,neutral,327,6568
a young girl is standing on one leg,a young female is dancing,neutral,328,6590
a young girl is standing on one leg,a young girl is dancing,neutral,329,6592
a bee is clinging to a yellow flower,there is no small bee landing on a bunch of yellow flowers,neutral,330,6598
there is no white dog with beige spots running through a field,a tan dog is running through the brush,neutral,331,6625
a hurdle is being leapt by a horse that has a rider on its back,a horse and its rider are leaping over a barrier,entailment,332,6634
two teenage girls are wearing fancy dresses at an event,two girls in their teens are wearing fancy dresses at an event,entailment,333,6649
a classroom full of students is looking attentively in the same direction inside a bamboo structure,a group of students in uniforms is listening attentively at the front of the class,neutral,334,6673
a child who is small is outdoors climbing steps outdoors in an area full of grass,a small child is outdoors climbing steps in a grassy area,entailment,335,6705
a little child in a pink sweater is climbing a concrete staircase,a small child is outdoors climbing steps in a grassy area,neutral,336,6709
a kid in orange is playing outside with a snowball,a snow ball is being made by a child,neutral,337,6729
the people are not sitting on a bench in front of a restaurant,three people are sitting on a bench under some palm trees,neutral,338,6740
a large brown dog and a small grey dog are standing on a rocky surface,a big brown dog and a small grey dog are standing on a rocky surface,entailment,339,6756
three boys are resting on rocks along a river,three boys are walking on rocks along a river,neutral,340,6764
there is no man dressed in black wearing an elaborate black mask,a man dressed in black is wearing an elaborate black mask,contradiction,341,6784
two children who are small are playing with a toy car in the street,a father is pushing his daughter on a gokart and another girl is watching,neutral,342,6849
a golden dog is running through a field of tall grass,there is no brown dog running through tall green grass,neutral,343,6866
the woman wearing the blue and white uniform with a white and blue hat is keeping her mouth open and is near others who are dressed in the same fashion,a woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,neutral,344,6912
the snowboarder is doing a flip over a mound of snow,somebody is jumping in the air on a board,entailment,345,6932
a blonde boy in green is sitting on a swing,there is no little girl with blond hair smiling and sitting on a swing,neutral,346,6955
a white man is staging a hat and a playing guitar,a man in a white hat is playing guitar on stage,neutral,347,6961
there is no man in a red uniform making a jump in a dirt bike race,a man in a red uniform is making a jump in a dirt bike race,contradiction,348,6971
rugby players are not tackling each other,a soccer player is being tackled by his opponent,neutral,349,7002
a white dog is standing on fallen leaves,a white dog is lying on fallen leaves,neutral,350,7007
a child in clothing which is light colored is standing with his arms extended outward,a child in light colored clothing is standing with his arms extended outward,entailment,351,7018
the boy and girl are not playing on a playground,the boy and girl are playing on the outdoor gym,neutral,352,7027
the motocross rider is standing naked,a biker with a blue jacket black pants and a white helmet is driving on dirt and people are watching,neutral,353,7043
the rider on the blue and black motocross bike is not wearing the pants,a biker with a blue jacket black pants and a white helmet is driving on dirt and people are watching,neutral,354,7044
a trick is being performed by a rollerblader on a ramp,a rollerblader is performing a trick on a ramp,entailment,355,7064
a group of football players is standing still in the field,the crowd is watching a football game,neutral,356,7088
the group of people is standing together and looking at the camera,a group of people is standing together and looking at the camera,entailment,357,7093
a brown dog is running across the yard with a toy in its mouth,there is no brown dog running across the yard with a toy in its mouth,contradiction,358,7214
there is no young boy jumping in the air with his knees bent and arms spread,a person with a green shirt is jumping high over the grass,neutral,359,7228
a cigarette is being smoked by the man in the straw hat,a man is wearing a straw hat and smoking a cigarette,entailment,360,7311
