premise,hypothesis,label
a small groupinging of churchgoer watch a choir pattern , a groupinging watches a pattern,entailment
various people hanging around outside of a edifice , there are a grouping of people are standing outside,entailment
a adult female with a straw lid working on a strange machine with coconut meat at her side , a adult female is using a machine to make coconut meat milk,neutral
a mount motorcycler jumping a side outdoors in a woods country , a mortal rides a motorcycle outdoors,entailment
there is a adult female holding a babe along with a adult male with a save the child bag , a adult male and a adult female are hoding their boy,neutral
people waiting at a visible light on bike , people are on their bike,entailment
a foreign home is walking along a soil way next to the h2o , a home of foreigner walks by the lake,neutral
three girl on an amusement drive enjoying themselves , there are three girl,entailment
people in orange vest and blue drawers with a yellow band at the bottom wait the beginning of a race , people in orange vest are racing in a race that has started,contradiction
a adult female in capri jeans crouch on the border of a fountain with her left pes kicked out to touch the falling h2o , a adult female is very eager to touch the h2o,neutral
two woman holding nutrient carryout container hug , two group of rival ring member flipped each other off,contradiction
three guy and a fille are all jumping in a pool together , the people are all friend,neutral
a mortal on a equus caballus jumps over a broken down aeroplane , a mortal is training his equus caballus for a competition,neutral
a adult female is walking across the street eating a banana tree while a adult male is following with his briefcase , two coworkers cross pathes on a street,neutral
a mount biker jumping a side outdoors in a woods country , a biker is doing jump by tree,entailment
a lady is on the flooring packing a bag , she is packing,entailment
a small fille with a necklace is swimming , a small fille with a necklace is swimming in a pool,neutral
three fire fighter the nearest fire fighter is holding a helmet in his left manus , the three fire fighter are discussing sport,neutral
a adult male in a bright green shirt shows a woadult male in a bright pink shirt something on a clipboard , the woadult male shows the adult male a clipboard,contradiction
a skier in electric greenness on the border of a incline made of metallic element parallel bars , the brightly dressed skier slid down the race class,entailment
adult female balancing on border of fountain while sticking her toe in the h2o , a adult female sits on the grassy land,contradiction
a adult male in a gold skirt sits in front of the computing device , a adult male in a golf game skirt sitting at his computing device typewriting to his friend online,neutral
a groupinging of people point forwards while performing some form of enactment , a groupinging of people point somewhere while speaking,neutral
various people hanging around outside of a edifice , the people are on luncheon interruption,neutral
an elderly adult male is drinking orange juice at a coffee barroom , an elderly adult male is drinking apple juice at a barroom,contradiction
a male child is drinking out of a h2o fountain shaped like a adult female , a male is getting a drink of h2o,entailment
a path event held by jp morgan chase with security , security guard are searching for weapon at a path event,neutral
a adult male in a blue shirt sits outside alone with a chess board laid out in front of him , two elderly hands playing scrabble,contradiction
a adult male wearing a striped top and jean does a skateboard fast one on some stairs while a adult male who is hunched over photograph him , a adult male is photographing a adult male skateboarding,entailment
a adult male in red stands with his kid at the beach , a adult male wearing blue sleeping with his kid in his lap inside his place,contradiction
a adult male and a woadult male are standing next to sculpture talking while another adult male looks at other sculpture , three people are looking at picture at a school funfair,contradiction
a adult male woadult male and kid enjoying themselves on a beach , a home of three is at the beach,entailment
a duet holding custody walks down a street , people are holding custody and walking,entailment
a adult male being airlifted to safety after being in danger , the chopper is moving people in danger,neutral
a gentleadult male in a purple scarf and lid is looking at money while holding an piano accordion , a adult male is looking at a hundred of dollar,neutral
a adult male squatting in the foreground of a photo while taking a photo of his own of a adult male doing a skateboarding kicking somerset in midair above a short flight of steps outdoors , a pro photoer is taking picture of a pro skater,neutral
people waiting to get on a railroad railroad train or just getting off , the people waiting on the railroad railroad train are sitting,neutral
scads of neatly folded vesture covert most of this flooring while a adult female with a beige shirt and jean busily fills a bag , a adult female is filling a bag,entailment
people on bicycle waiting at an intersection point point , people on bicycle speed through an intersection point point,contradiction
a adult female talks to two other woadult male and a adult male with notepad in an business office edifice with large windows , a adult male talks to duck in a pool,contradiction
three girl on an amusement drive enjoying themselves , the girl are at place,contradiction
three rockers stop in town , there is a very angry domestic dog,contradiction
two people pose for the photographic camera , two people are yelling,contradiction
people on bicycle waiting at an intersection point , there is a motorcycle race happening right now,neutral
a adult female talks to two other woadult male and a adult male with notepad in an business business office edifice with large windows , a adult female in an business business office edifice talks to a grouping of three taking note on a notepad,neutral
a crowded metropolis during solar day , a crowded metropolis filled with many car on a warm summertime solar day,neutral
adult female in white in foreground and a adult male slightly behind walking with a mark for johns pizza and gyro in the background , the adult female and adult male are outdoors,entailment
a male child is jumping on skateboard in the centre of a red span , the male child skates down the pavement,contradiction
a adult female talks to two other woadult male and a adult male with notepad in an business office edifice with large windows , four people stand near a wall speaking to each other,entailment
young adult female running as two guy in the back effort to catch up to her , grouping of people running,entailment
a adult male autorying a loading of fresh direct box on auto with wheel in the metropolis street as a woadult male walks towards him , a young chap delivers grocery by cycle in the metropolis,contradiction
a adult male in an hob lid holding a white umbrella is standing on the pavehandst with two other hands , a adult male stands,entailment
cheerleader are doing a cheer at a football game field , the cheerleader are wearing apparel,entailment
a photographic camera crew is filming two woman in formal dress sitting on a cover in the centre of a parkland , someone is operating a mike,neutral
two people dancing wearing dance costume , the people are moving,entailment
a adult male with a whiskers wearing a red shirt with gray sleeve and work glove pulling on a rope , a whiskersed adult male is pulling a auto with his dentition,contradiction
a adult male with a whiskers wearing a red shirt with gray sleeve and work glove pull on a rope , a adult male competes in a rope pull competition,neutral
two people loading brushwoodwood on a dawdler attached to a motormotortruck , a duet of people are loading brushwoodwood onto a dawdler that is attached to a motormotortruck,entailment
a saddle bronc driver gets lifted out of the saddle but keeps his grasp during his drive , the adult male is riding a bike,contradiction
the silhouette of three people in front of a wall , the wall is painted,neutral
a path event held by jp morgan chase with security , the path event has no security,contradiction
a boat worker securing line , a worker is doing something to a boat,entailment
a auto sinking in h2o , a auto has crashed into a large lake,neutral
a duet holding custody walks down a street , two custody hold custody while walking down the street,neutral
two people wearing blue vesture are making adult maleus gesture next to one another , a adult male and a woadult male are standing next to each other and communicating through mark linguistic communication,neutral
a adult female talks to two other woadult male and a adult male with notepad in an business office edifice with large windows , a adult female talks to two other woadult male,entailment
a adult male is using his computing device while seated at a desk , a adult male sits at a desk,entailment
a duet stroll arm and arm and manus in manus down a metropolis pavement , the duet is outdoors,entailment
people on bicycle waiting at an intersection point , people on bicycle enjoy a conversation waiting for traffic,neutral
a framework posing to look as if shes a real female association football participant , a adult female is trying to framework for a sport mag,neutral
a adult female wearing a green and pink frock is dance with someone wearing a blue top with white drawers , the dance adult female is on the grass,neutral
a young adult male and young lady dancing on a carpeted flooring with a icon from the pic plaything tale on a big silver screen in the background , they pic is very loud in the background,neutral
one motorcycler is running with their motorcycle while another is riding around them , the people are part of a nine,neutral
a barber waiting for customer , a barber is at work,entailment
people in orange vest and blue drawers with a yellow band at the bottom wait the beginning of a race , people are running for a charity,neutral
a adult male is using his computing device while seated at a desk , a woadult male drinks a beer at her desk,contradiction
two older hands in coat are standing outside , it is cold but they went outside anyway,neutral
two people with bicycle one in front running with a motorcycle and one in back equitation , two people eating water ice pick cone at the promenade,contradiction
a adult female is walking across the street eating a banana tree while a adult male is following with his briefcase , a adult female eats water ice pick walking down the pavement and there is another adult female in front of her with a bag,contradiction
two older hands in wintertime coat talking outside of a store with a grassy lawn covered in a light coat of snowfall in front of it , the old hands are discussing the conditions,neutral
two association football team are competing on a association football field , there is a association football game,entailment
a adult male stare at a passing duet while walking down the block , the adult male is jealous of the duet,neutral
an older adult male sits with his orange juice at a small tabular array in a java store while employee in bright colored shirt smiling in the background , an older adult male drinks his juice as he waits for his girl to get off work,neutral
grouping of young woman in dress strolling on the pavement , there are some groupings one of them of young female are in dress strolling for a incline walking,entailment
a adult male in a striped polo shirt is pointing and smiling , the adult male is outside,neutral
two young girl are playing outside in a nonurban environment , some girl are running through an open field,neutral
a crowded metropolis during day , a abandoned metropolis at the border of the cosmos,contradiction
two elderly hands having a conversation snowfall covered grass in the background , the hands are drinking java and having some cookie,contradiction
two older hands in coat are standing outside , they are outside wearing coat,entailment
a busy metropolis that looks like new york metropolis , the metropolis is very large,neutral
a motorcyclist does a olfactory organ wheelie , a motorcyclist doing a wheelie,entailment
the blond adult female is searching for medical supply in a bag , a brunet adult female checks her bag before boarding a airplane,contradiction
closeup mental image of a domestic dog swim , an underwater picgraphic camera takes a pic of a puppy,neutral
a duet drama in the tide with their young boy , the home is on holiday,neutral
a adult male and a woadult male cross the street in front of a pizza pie and gyro eatery , the people are standing still on the kerb,contradiction
a adult male squatting in the foreground of a photo while taking a photo of his own of a adult male doing a skateboarding kicking somerset in midair above a short flight of steps outdoors , a adult male is taking photo of his boy doing trick on the skateboard,neutral
people on bicycle waiting at an intersection point , people are riding their bicycle,entailment
grouping of young woman in dress strolling on the pavement , all the woman are well dressed,neutral
a adult male with blondhair and a brown shirt drinking out of a public h2o fountain , a blond adult male getting a drink of h2o from a fountain in the parkland,neutral
a white motorcycle is leaning against a station , a motorcycle with a flat tyre is not being ridden,neutral
a adult male holds a clipboard and a pen as a woadult male looks at them , the woadult male is asleep,contradiction
people in orange vest and blue drawers with a yellow band at the bottom wait the beginning of a race , the people waiting are part of the race,neutral
a adult female on the side of a street is making nutrient on her cart , a mortal is cooking mexican nutrient,neutral
a adult male being airlifted to safety after being in danger , a adult male is being moved,entailment
people waiting at a visible light on bike , a clump of friend are on a boat,contradiction
a duet are holding custody behind their back while walking down a street and the adult male has his arm around her shoulder , bear in zoo,contradiction
a young adult male in a blue sport coat and short pants sits alone in front of tabular array with a cheat game set up , a gran plays a game of link four at the rotary nine group meeting,contradiction
a foreign home is walking along a soil way next to the h2o , the home is admiring the h2o,entailment
a adult male with wild hair rocks a show playing a guitar centre phase , a cat stands on phase with his guitar,entailment
bicyclist waiting at an intersection point , the bicyclist ride through the promenade on their bike,contradiction
a adult female is making a clay pot , a adult female is making a flower pot,neutral
a adult male with a red shirt is watching another adult male who is standing on top of a attached cart filled to the top , a cart is full of item,entailment
an average looking adult male is playing the guitar , the adult male can play the guitar well,neutral
three rockers stop in town , rockers stop for gaseous state,entailment
a adult female in a blue shirt and green lid looks up at the photographic photographic camera , a adult female wearing a blue shirt and green lid smile at the photographic photographic camera,neutral
a adult male walking along side a clean up crew , the woadult male jogged alongside the crew,contradiction
a young adult female packs holding into a black bag , a young adult female packs holding into a black baggage bearer,entailment
little fille in a blue and yellow tartan outfit and blue lid is running along the trail , a fille is running downhill on the trail,neutral
two child in colorful outfit playing in a field with a big stone in the centre , two kid are playing with a big stone in the field with home,neutral
bicyclist waiting at an intersection point , bicyclist riding along a thruway,contradiction
a spotted black and white domestic domestic dog splash in the h2o , the domestic domestic dog is eating out of his favorite bowl in the kitchen,contradiction
a duet wearing black burgundy and white dance , the duet danced in the competition,neutral
a white domestic domestic dog runs along a rocky shoreline , a domestic domestic dog is running up the steps at place,contradiction
a white and brown domestic domestic dog is leaping through the air , the domestic domestic dog is catching a frisbee,neutral
a adult female wearing all white and eating walks next to a adult male holding a briefcase , a married duet is walking next to each other,neutral
a middleaged oriental adult female in a green headscarf and blue shirt is flashing a giant smiling , a middle aged oriental adult female in a green headscarf and blue shirt is flashing a giant smiling,entailment
a adult male resting on a street , a adult male sitting on a street,neutral
a foreign home is walking along a soil way next to the h2o , the people are driving a auto on the thruway,contradiction
a large grouping wearing pink shirt wave to onlooker , no one is watching them,contradiction
a young fille sitting at a tabular array with a bowl on her caput , a young fille has a bowl on her caput,entailment
a adult male walking proudly down the street , a adult male is outside,entailment
a adult male is leading a clydesdale up a hay route within a old land , a adult male is walking with his equus caballus up a land route,entailment
a adult female on the side of a street is making nutrient on her cart , a kid is wearing a bandanna,contradiction
a saddle bronc driver gets lifted out of the saddle but keeps his grasp during his drive , the adult male is trying not to fall,neutral
a adult male is sitting on a bike on the pavement , a adult male in black is playing with his true cat on sunday,contradiction
a adult female is walking across the street eating a banana tree while a adult male is following with his briefcase , the adult female is a seductress,neutral
a adult female with a black jacket walk past an outdoor pic posting , a adult female is cleaning up,contradiction
a adult male and a woadult male are holding custody as they walk along a metropolis pavement , a married duet are fighting on the pavement,contradiction
a adult male dances with a fire wand at nighttime , the crowd cheer as he peforms,neutral
child going home from school , the school child head home,entailment
a adult male being airlifted to safety after being in danger , the chopper is putting people in a dangerous country,contradiction
a little male child swimming underwater with a plaything in his manus , a little male child is chasing a domestic dog,contradiction
one adult male sits inside and plays the banjo there are tree behind him outside , a male sitting inside,entailment
a adult male stopping on the pavement with his motorcycle to have a fume , the adult male is standing,entailment
a yellow uniformed skier is performing a fast one across a railed physical object , somebody is engaging in wintertime sport,entailment
a duet are holding custody behind their back while walk down a street and the adult male has his arm around her shoulder , duet walk,entailment
bicyclist waiting at an intersection point , bicyclist waiting their bend to cross,entailment
a grayhaired adult female in a blue frock coat with snowflake on it balances something on her caput , the adult female loves her blonde hair,contradiction
two adult one female in white with sunglasses and one male gray apparel walking across a street away from a restaurant with a blurred mental image of a dark colored red shirted mortal in the foreground , two people walk home after a tasty steak dinner,neutral
a adult male squatting in the foreground of a photo while taking a photo of his own of a adult male doing a skateboarding kicking somerset in midair above a short flight of steps outdoors , a adult male photos tony hawk skateboarding,neutral
a young adult female packs holding into a black bag , a young adult female distributes holding into a black box,neutral
two adult one female in white with sunglasses and one male gray apparel walking across a street away from a restaurant with a blurred mental image of a dark colored red shirted mortal in the foreground , two adult walk across a street,entailment
a skateboarder skates in the pool , a skate swims in the pool,contradiction
a foreign home is walking along a soil way next to the h2o , a foreign home walks by a soil trail along a organic structure of h2o,entailment
a schoolroom of student discussing talk , a schoolroom is discussing the topic of the solar day,entailment
people waiting at a visible light on bike , the people are riding their bike to the gymnasium,neutral
three rockers stop in town , a town has witnessed the reaching of three rockers,entailment
several people are dancing together in synchronise , adult male and woadult male dancing together,neutral
people in orange vest and blue drawers with a yellow band at the bottom wait the beginning of a race , the runner waited to start the olympic race,neutral
a association football game played by a blue squad and a red squad on a perfectly manicured field at fall , no one is playing association football,contradiction
a mortal on a equus caballus jumps over a broken down aeroplane , a mortal is outdoors on a equus caballus,entailment
a adult male in a gold skirt sits in front of the computing device , a adult male in a gold skirt sitting at his computing device watching the computing device silver screen,entailment
a association football game played by a blue squad and a red squad on a perfectly manicured field at fall , people are playing association football,entailment
a doc in blue gown is performing an operation assisted by two hands and a adult female , a old adult male was talking,entailment
a adult female wearing a pink lid is looking at a pink auto with the motortruck open , the adult female is wearing a grocery store bag to her auto,contradiction
people in orange vest and blue drawers with a yellow band at the bottom wait the beginning of a race , people in orange vest wait the beginning of a race to win first award,neutral
tourer waiting at a railroad railroad railroad train halt , a grouping of tourer waiting for a railroad railroad railroad train at a railroad railroad railroad train station,entailment
two people with bicycle one in front running with a motorcycle and one in back equitation , two people taking their motorcycles to the trail,neutral
adult male smokes while sitting on a parked sea sea scooter , the adult male is smoking something while sitting on the sea sea scooter,entailment
a groupinging of people point forwards while performing some form of enactment , a groupinging of people fight using tigers,contradiction
two female medical professional one african american one white looking over paperwork in a infirmary , coworkers left work and are driving to luncheon,contradiction
a adult female stands behind an outdoor grillroomroom with a blue handhandbasket of nutrient in her custody , a adult female standing behind a grillroomroom outside with a blue handhandbasket of nutrient in her custody,entailment
an excited smiling adult female stands at a red rail as she holds a boombox to one side , nobody is standing,contradiction
adult female in white in foreground and a adult male slightly behind walking with a mark for johns pizza and gyro in the background , the adult male is sitting down while he has a mark for johns pizza and gyro in his weaponry,contradiction
a granger fertilizing his garden with adult maleure with a equus caballus and waggon , the adult male is fertilizering his garden,entailment
association football game squad play on a field as the sun sets behind a line of tree , a football game squad is playing field hockey against a association football game squad in an water ice skating rink,contradiction
a adult male in a bright green shirt shows a woadult male in a bright pink shirt something on a clipboard , two people are looking at a clipboard,entailment
cheerleader are on the field cheering , the dallas cowboys cheerleader are trying to pumpup the crowd,neutral
an average looking adult male is playing the guitar , the adult male knows how to play guitar,entailment
an older adult male sits with his orange juice at a small tabular array in a java store while employee in bright colored shirt smiling in the background , a male child flips a burger,contradiction
a driver is racing his ford vehicle on a crushed rock path , a ford is being driven on a path,entailment
a skateboarder skates in the pool , a skater grind on the lip of the pool,neutral
a grayhaired adult female in a blue frock coat with snowfallflake on it balances something on her caput , the adult female is guarding herself from the snowfall,neutral
little fille walking along a soil stone and grass way wearing a blue lid many stairs behind two people wearing backpack and holding umbrella , three people are walking along a way trying to get home before the violent storm hits,neutral
a adult female is making a clay pot , a adult male is picture a picture,contradiction
many people relax in the pace , people watch tv in their life room,contradiction
a white motorcycle is leaning against a station , a motorcycle it outside,entailment
a spotted black and white domestic domestic dog splash in the h2o , the domestic domestic dog is swimming by itself,neutral
a mount biker jumping a side outdoors in a woods country , the biker is trying to jump over a vent,contradiction
people waiting at a visible light on bike , a ladybird has landed on a beautiful pink rosebush,contradiction
two woman who just had luncheon hugging and saying good-bye , the friend have just met for the first clip in 20 age and have had a great clip catching up,neutral
a young adult male doing a fast one on a skateboard down the steps while being photographed , a helmetless young adult male does a fast one on a skateboard while being photographed,neutral
a yellow uniformed skier is performing a fast one across a railed physical object , a skier is competing in a competition,neutral
a grayhaired adult female in a blue frock coat with snowflake on it balances something on her caput , the adult female is wearing a coat,entailment
a adult female in a blue shirt and green lid looks up at the photographic camera , a adult female wearing a blue shirt and green lid is on her cell,contradiction
two domestic domestic dog biting another domestic domestic dog in a field , domestic domestic dog sitting in filed,contradiction
