,label,A,B
398,-1,0,1
399,0,1,1
400,1,1,1
401,0,1,1
402,-1,1,1
403,1,0,1
404,1,1,1
405,-1,1,1
406,0,0,0
407,-1,1,1
408,0,0,0
409,1,0,1
410,-1,1,1
411,1,0,0
412,0,1,1
413,-1,0,0
414,1,1,1
415,0,1,1
416,1,0,0
417,-1,1,1
418,0,1,1
419,1,0,0
420,-1,0,0
421,0,1,1
422,0,1,1
423,-1,0,1
424,1,0,0
425,-1,1,1
426,1,0,0
427,1,0,0
428,-1,1,1
429,1,1,1
430,-1,1,1
431,0,1,1
432,1,1,1
433,0,1,0
434,-1,1,1
435,1,0,0
436,-1,1,1
437,0,0,0
438,0,0,0
439,-1,0,0
440,1,1,1
441,-1,1,1
442,0,0,0
443,1,0,0
444,1,0,0
445,-1,0,0
446,-1,0,0
447,1,1,1
448,0,1,1
449,-1,1,1
450,1,1,1
451,0,1,1
452,1,1,1
453,-1,1,1
454,0,0,1
455,1,1,1
456,1,1,1
457,-1,1,1
458,-1,0,0
459,0,1,1
460,1,0,0
461,0,1,1
462,1,0,0
463,-1,1,1
464,-1,1,1
465,1,0,0
466,0,1,0
467,0,1,1
468,-1,0,0
469,1,0,0
470,1,1,0
471,-1,0,0
472,1,1,0
473,-1,1,1
474,1,1,1
475,0,0,0
476,1,1,1
477,0,1,1
478,-1,0,0
479,-1,0,0
480,1,1,1
481,1,0,0
482,-1,0,0
483,0,1,1
484,1,0,0
485,0,0,0
486,1,0,0
487,-1,1,1
488,1,1,1
489,-1,0,0
490,0,0,0
491,-1,1,1
492,0,1,1
493,1,0,0
494,1,1,1
495,0,0,0
496,-1,1,1
497,-1,1,1
498,1,0,0
499,1,0,0
500,-1,1,1
501,1,1,1
502,0,1,1
503,-1,1,1
504,0,0,0
505,1,0,0
506,-1,1,1
507,1,0,0
508,0,1,1
509,-1,0,1
510,0,0,0
511,1,1,1
512,0,1,1
513,0,1,1
514,1,0,0
515,1,0,0
516,0,0,0
517,-1,0,0
518,1,1,1
519,0,0,0
520,-1,1,1
521,1,1,1
522,0,1,1
523,-1,0,0
524,0,1,1
525,1,1,1
526,1,1,1
527,-1,1,1
528,0,0,0
529,1,1,1
530,-1,0,0
531,0,1,1
532,1,0,0
533,-1,1,1
534,0,1,1
535,1,1,1
536,0,0,0
537,-1,1,1
538,-1,1,1
539,0,0,0
540,1,0,0
541,0,1,1
542,1,0,0
543,-1,1,1
544,0,1,1
545,-1,1,1
546,1,0,0
547,1,1,1
548,-1,1,1
549,0,0,0
550,0,1,1
551,0,1,1
552,-1,1,1
553,-1,1,1
554,0,1,1
555,1,0,0
556,1,0,0
557,0,0,0
558,-1,1,1
559,1,1,1
560,0,0,0
561,-1,0,0
562,0,1,1
563,1,0,0
564,-1,0,0
565,1,1,1
566,0,1,0
567,-1,1,1
568,-1,1,1
569,0,0,0
570,1,0,0
571,1,1,1
572,-1,1,1
573,1,0,0
574,1,0,0
575,-1,0,1
576,0,0,0
577,1,0,0
578,-1,1,1
579,0,1,1
580,0,0,0
581,-1,1,1
582,1,1,1
583,0,1,1
584,-1,1,1
585,1,1,1
586,-1,0,0
587,0,1,1
588,1,1,1
589,-1,1,1
590,0,1,1
591,1,0,0
592,0,0,0
593,-1,1,1
594,1,0,0
595,0,1,1
596,-1,1,1
597,1,0,0
598,0,0,0
599,1,1,1
600,-1,0,0
601,-1,1,1
602,1,1,1
603,0,1,1
604,0,1,1
605,1,0,0
606,-1,1,1
607,-1,1,0
608,0,1,1
609,1,0,0
610,1,1,1
611,-1,1,1
612,0,0,0
613,1,0,0
614,-1,0,0
615,0,0,0
616,0,0,0
617,1,0,1
618,0,1,1
619,-1,1,0
620,1,1,0
621,0,0,0
622,-1,0,0
623,0,1,1
624,0,0,0
625,0,1,1
626,-1,1,1
627,0,0,0
628,0,1,1
629,1,1,1
630,-1,0,0
631,0,0,0
632,1,0,0
633,0,1,1
634,-1,0,0
635,0,1,1
636,1,0,0
637,-1,0,0
638,1,1,1
639,-1,1,1
640,0,1,1
641,1,0,0
642,0,1,1
643,-1,1,1
644,1,1,1
645,-1,0,0
646,0,1,1
647,0,1,1
648,1,0,0
649,-1,0,0
650,-1,1,1
651,0,1,1
652,1,1,1
653,1,1,1
654,0,0,0
655,-1,1,1
656,1,1,1
657,-1,1,1
658,0,1,1
659,0,0,0
660,1,1,1
661,-1,1,1
662,1,0,0
663,-1,1,1
664,0,0,0
665,1,0,0
666,-1,0,0
667,0,1,1
668,1,1,1
669,-1,1,1
670,0,1,1
671,0,1,1
672,1,1,1
673,-1,1,1
674,1,1,1
675,0,0,0
676,1,1,1
677,1,1,1
678,-1,0,0
679,0,1,1
680,1,0,0
681,0,1,1
682,-1,1,1
683,1,0,0
684,-1,1,1
685,0,1,1
686,1,0,0
687,-1,0,0
688,0,1,1
689,1,0,0
690,-1,1,1
691,-1,1,1
692,1,1,1
693,-1,0,0
694,0,1,1
695,1,0,0
696,-1,1,1
697,0,1,1
698,-1,0,0
699,0,0,0
700,1,1,1
701,1,1,1
702,0,0,0
703,-1,0,0
704,0,1,1
705,0,1,0
706,-1,1,1
707,0,0,0
708,-1,1,1
709,0,0,0
710,1,1,1
711,0,1,1
712,-1,0,0
713,1,0,0
714,0,1,1
715,-1,0,0
716,-1,0,0
717,1,0,0
718,1,0,0
719,-1,0,0
720,-1,0,0
721,1,1,1
722,0,0,0
723,0,0,0
724,-1,0,1
725,1,1,1
726,0,1,1
727,-1,1,1
728,-1,0,0
729,1,1,1
730,0,0,0
731,1,0,0
732,-1,1,1
733,0,1,1
734,-1,0,0
735,1,0,0
736,0,1,1
737,0,1,1
738,-1,0,0
739,1,0,1
740,-1,0,0
741,0,1,1
742,1,0,0
743,1,1,1
744,0,0,0
745,-1,0,0
746,0,0,0
747,0,0,0
748,1,0,1
749,0,0,0
750,1,0,0
751,-1,1,1
752,1,0,0
753,-1,0,0
754,1,0,0
755,1,1,1
756,0,1,0
757,-1,1,1
758,0,0,0
759,1,0,0
760,-1,0,0
761,0,0,0
762,-1,0,0
763,1,1,1
764,-1,1,1
765,0,0,0
766,0,0,0
767,1,1,1
768,1,0,0
769,-1,0,0
770,-1,1,1
771,0,1,1
772,1,1,1
773,1,0,0
774,-1,1,1
775,1,1,1
776,0,1,1
777,1,1,1
778,-1,1,1
779,0,1,1
780,-1,1,1
781,0,0,1
782,-1,0,0
783,1,0,0
784,0,1,1
785,-1,0,0
786,0,1,1
787,1,0,0
788,-1,0,0
789,1,1,1
790,1,1,1
791,-1,0,0
792,1,0,0
793,0,1,1
794,-1,1,1
795,0,0,0
796,1,1,1
797,-1,1,1
798,1,1,1
799,0,1,1
800,0,0,0
801,-1,0,0
802,1,0,0
803,1,1,1
804,0,1,1
805,-1,1,1
806,1,1,1
807,0,1,1
808,-1,1,1
809,0,0,0
810,-1,1,1
811,1,1,1
812,0,1,1
813,1,0,0
814,-1,1,1
815,-1,1,1
816,0,0,0
817,1,0,0
818,-1,0,0
819,0,1,1
820,1,0,0
821,0,1,1
822,-1,1,1
823,1,1,1
824,-1,1,1
825,1,1,1
826,0,1,0
827,0,1,1
828,1,1,1
829,-1,1,1
830,0,0,0
831,-1,0,0
832,1,1,1
833,0,0,0
834,-1,1,0
835,1,1,1
836,1,0,0
837,0,1,1
838,-1,1,1
839,-1,1,1
840,0,0,0
841,1,0,0
842,-1,0,0
843,0,1,1
844,1,1,1
845,-1,1,1
846,0,0,0
847,0,0,0
848,1,1,1
849,-1,0,0
850,0,0,0
851,-1,0,0
852,1,1,1
853,0,1,1
854,0,0,0
855,-1,1,1
856,1,0,0
857,0,1,1
858,1,0,0
859,0,1,1
860,0,0,0
861,-1,0,0
862,1,1,1
863,1,1,1
864,-1,0,0
865,1,0,0
866,0,0,1
867,-1,0,0
868,1,0,0
869,-1,0,0
870,0,0,0
871,1,0,0
872,0,1,1
873,-1,0,0
874,1,1,1
875,-1,1,1
876,0,0,0
877,0,1,1
878,-1,0,0
879,1,1,1
880,1,1,0
881,0,1,1
882,-1,0,0
883,0,1,1
884,-1,0,0
885,1,1,1
886,1,0,1
887,0,1,1
888,-1,0,0
889,-1,0,0
890,1,1,1
891,0,0,0
892,0,1,1
893,1,1,1
894,-1,1,1
895,-1,0,0
896,0,1,1
897,1,0,0
898,-1,0,0
899,0,1,1
900,1,0,0
901,1,1,1
902,0,1,1
903,0,1,0
904,1,1,1
905,0,1,1
906,-1,1,1
907,-1,1,1
908,0,1,1
909,1,1,1
910,-1,1,1
911,0,0,0
912,0,1,0
913,1,0,0
914,-1,1,1
915,0,0,0
916,0,1,1
917,1,1,1
918,-1,0,0
919,1,1,1
920,0,1,1
921,-1,0,1
922,-1,0,0
923,1,0,0
924,0,1,1
925,-1,0,0
926,1,1,1
927,0,0,0
928,-1,1,1
929,0,1,1
930,1,0,0
931,-1,1,1
932,0,0,0
933,1,0,0
934,1,1,1
935,-1,0,0
936,0,1,1
937,0,0,0
938,-1,1,1
939,1,1,1
940,0,0,0
941,1,0,0
942,-1,1,1
943,1,0,0
944,0,1,1
945,-1,0,0
946,0,1,1
947,1,0,0
948,-1,0,0
949,-1,1,1
950,0,1,1
951,-1,0,0
952,0,0,0
953,1,1,1
954,1,0,0
955,0,0,0
956,-1,1,1
957,1,1,1
958,-1,1,1
959,-1,0,0
960,-1,1,1
961,0,1,1
962,1,1,1
963,1,0,0
964,-1,1,0
965,0,1,1
966,0,1,1
967,0,1,1
968,-1,0,0
969,1,1,1
970,0,0,0
971,-1,0,0
972,1,0,0
973,-1,0,0
974,0,0,0
975,1,0,0
976,-1,0,0
977,1,1,1
978,0,0,0
979,-1,1,1
980,0,0,0
981,-1,1,1
982,1,1,1
983,0,1,1
984,-1,1,1
985,0,0,0
986,-1,0,0
987,1,0,1
988,-1,0,0
989,1,0,0
990,-1,1,1
991,0,0,0
992,1,0,0
993,0,1,1
994,1,0,1
995,-1,1,1
996,-1,0,1
997,1,1,1
998,0,0,0
999,0,0,0
1000,0,0,0
1001,0,0,0
1002,-1,1,1
1003,1,0,0
1004,0,0,0
1005,0,1,1
1006,1,0,0
1007,-1,0,0
1008,-1,0,0
1009,0,1,1
1010,1,1,1
1011,1,1,1
1012,0,0,0
1013,-1,1,1
1014,-1,1,1
1015,1,0,0
1016,0,1,1
1017,0,0,0
1018,-1,1,1
1019,1,1,1
1020,1,0,0
1021,-1,1,1
1022,0,1,1
1023,1,1,1
1024,-1,1,1
1025,0,0,0
1026,-1,1,1
1027,1,0,0
1028,0,1,1
1029,-1,1,1
1030,0,1,1
1031,1,0,0
1032,0,0,0
1033,1,0,0
1034,-1,1,1
1035,1,1,1
1036,-1,0,0
1037,0,0,0
1038,-1,0,0
1039,0,1,1
1040,1,0,0
1041,1,1,1
1042,-1,0,0
1043,0,1,1
1044,0,1,1
1045,0,0,0
1046,1,1,1
1047,0,0,0
1048,0,0,0
1049,0,0,0
1050,-1,1,1
1051,1,0,0
1052,0,1,1
1053,1,0,0
1054,0,1,1
1055,-1,0,0
1056,1,1,1
1057,0,0,0
1058,-1,1,0
1059,0,1,1
1060,1,1,1
1061,0,1,1
1062,1,1,1
1063,-1,0,0
1064,1,0,0
1065,1,0,0
1066,-1,0,0
1067,0,1,1
1068,1,1,1
1069,1,0,0
1070,-1,1,1
1071,0,0,0
1072,1,1,1
1073,-1,1,1
1074,0,1,1
1075,0,0,0
1076,-1,0,0
1077,1,1,0
1078,0,0,0
1079,-1,1,1
1080,1,1,1
1081,0,0,0
1082,-1,1,1
1083,1,1,1
1084,-1,1,1
1085,1,0,0
1086,0,0,0
1087,0,0,0
1088,-1,1,1
1089,1,1,1
1090,-1,0,0
1091,0,1,1
1092,1,1,1
1093,0,0,0
1094,1,0,1
1095,-1,0,0
1096,1,1,1
1097,0,1,0
1098,0,0,0
1099,1,0,0
1100,-1,1,1
1101,-1,0,0
1102,1,1,1
1103,1,0,0
1104,0,1,1
1105,0,1,1
1106,-1,1,1
1107,0,0,0
1108,1,0,0
1109,-1,1,1
1110,0,0,0
1111,1,1,1
1112,1,0,0
1113,-1,1,1
1114,0,0,0
1115,0,0,0
1116,1,0,0
1117,-1,1,1
1118,0,0,0
1119,1,0,0
1120,-1,0,0
1121,0,0,0
1122,-1,1,1
1123,1,0,0
1124,1,1,1
1125,-1,0,1
1126,0,0,0
1127,1,0,0
1128,-1,1,1
1129,-1,0,1
1130,-1,1,1
1131,1,0,0
1132,0,0,0
1133,-1,1,1
1134,0,1,1
1135,1,0,0
1136,1,1,1
1137,-1,0,0
1138,0,0,0
1139,-1,1,1
1140,0,0,0
1141,1,1,1
1142,1,1,1
1143,-1,1,1
1144,0,1,1
1145,-1,0,0
1146,1,1,1
1147,0,0,0
1148,1,1,1
1149,-1,1,1
1150,0,1,1
1151,-1,1,1
1152,1,1,1
1153,0,1,1
1154,0,1,1
1155,1,1,1
1156,-1,0,0
1157,-1,0,0
1158,0,0,1
1159,1,1,1
1160,-1,1,1
1161,1,1,1
1162,0,0,0
1163,0,1,1
1164,1,1,1
1165,-1,0,0
1166,1,1,1
1167,0,1,1
1168,-1,1,1
1169,0,1,1
1170,1,1,1
1171,-1,0,0
1172,0,0,0
1173,-1,1,1
1174,1,1,1
1175,1,0,0
1176,-1,0,0
1177,0,0,0
1178,-1,1,1
1179,1,0,0
1180,0,0,0
1181,1,1,1
1182,-1,1,1
1183,0,0,0
1184,1,0,0
1185,0,1,1
1186,-1,0,0
1187,1,0,0
1188,-1,1,1
1189,0,0,0
1190,1,1,1
1191,-1,0,0
1192,0,0,0
1193,0,0,0
1194,-1,1,1
1195,1,1,1
1196,0,1,1
1197,1,0,0
1198,-1,1,1
1199,0,0,1
1200,1,0,0
1201,-1,1,1
1202,0,1,1
1203,1,1,1
1204,-1,1,0
1205,-1,0,0
1206,0,1,1
1207,1,1,1
1208,-1,1,0
1209,1,0,0
1210,0,1,1
1211,-1,1,1
1212,1,1,1
1213,0,0,0
1214,-1,1,1
1215,1,1,1
1216,0,1,1
1217,1,1,1
1218,0,1,1
1219,0,1,1
1220,-1,1,1
1221,0,0,0
1222,1,1,1
1223,-1,1,1
1224,0,1,1
1225,1,1,1
1226,1,0,0
1227,0,0,0
1228,0,0,0
1229,-1,1,1
1230,1,0,0
1231,0,0,0
1232,-1,1,1
1233,0,0,0
1234,-1,1,1
1235,1,1,1
1236,0,1,1
1237,1,0,0
1238,0,0,0
1239,-1,1,1
1240,1,1,1
1241,-1,1,1
1242,0,1,1
1243,0,0,0
1244,1,1,1
1245,-1,0,0
1246,1,1,1
1247,-1,0,0
1248,0,1,1
1249,1,1,1
1250,0,0,0
1251,0,0,0
1252,1,1,1
1253,-1,0,0
1254,0,0,0
1255,-1,1,1
1256,0,0,0
1257,1,1,0
1258,0,1,1
1259,1,1,1
1260,-1,1,1
1261,1,1,1
1262,-1,1,1
1263,0,1,0
1264,0,1,1
1265,1,0,0
1266,-1,1,1
1267,0,0,0
1268,-1,0,0
1269,-1,0,0
1270,-1,1,1
1271,1,0,0
1272,0,0,0
1273,1,1,1
1274,0,0,0
1275,-1,1,1
1276,1,1,1
1277,-1,1,1
1278,0,0,0
1279,1,1,1
1280,0,1,1
1281,-1,1,1
1282,1,0,0
1283,-1,0,0
1284,1,0,0
1285,-1,0,0
1286,1,0,0
1287,0,1,1
1288,1,0,0
1289,0,0,0
1290,0,0,0
1291,0,1,1
1292,0,0,0
1293,0,1,1
1294,-1,0,0
1295,1,1,1
1296,-1,0,0
1297,0,0,1
1298,1,1,1
1299,0,1,1
1300,-1,1,1
1301,1,1,1
1302,0,0,0
1303,1,0,0
1304,-1,1,1
1305,0,0,0
1306,0,0,0
1307,-1,1,1
1308,-1,0,0
1309,1,1,1
1310,0,0,0
1311,-1,0,0
1312,0,1,1
1313,0,0,1
1314,0,0,0
1315,-1,0,0
1316,-1,0,0
1317,0,1,1
1318,0,1,1
1319,1,0,0
1320,1,0,0
1321,-1,1,1
1322,-1,0,0
1323,-1,1,1
1324,1,1,1
1325,1,0,0
1326,0,1,1
1327,-1,1,1
1328,1,0,0
1329,-1,1,1
1330,0,0,0
1331,0,0,0
1332,-1,1,1
1333,0,0,0
1334,-1,1,1
1335,1,0,0
1336,-1,1,1
1337,1,1,1
1338,0,0,0
1339,-1,1,1
1340,1,1,1
1341,0,0,0
1342,1,1,1
1343,0,1,1
1344,-1,1,1
1345,0,1,1
1346,0,1,1
1347,1,0,0
1348,-1,1,1
1349,1,1,1
1350,0,1,1
1351,1,1,1
1352,0,0,1
1353,-1,1,1
1354,0,1,1
1355,1,0,0
1356,-1,1,1
1357,-1,0,0
1358,0,1,0
1359,1,1,1
1360,0,1,1
1361,1,1,1
1362,0,1,1
1363,1,1,1
1364,-1,0,0
1365,-1,1,1
1366,1,0,0
1367,-1,1,1
1368,0,0,0
1369,1,0,0
1370,-1,1,1
1371,0,0,0
1372,1,1,1
1373,0,1,1
1374,-1,0,0
1375,1,1,1
1376,1,1,1
1377,-1,0,0
1378,0,0,0
1379,0,0,1
1380,-1,1,1
1381,1,0,0
1382,-1,1,1
1383,1,1,1
1384,0,1,1
1385,-1,1,1
1386,1,1,1
1387,0,1,1
1388,-1,1,1
1389,1,0,0
1390,0,1,1
1391,1,1,1
1392,0,0,0
1393,-1,1,1
1394,1,0,0
1395,0,1,0
1396,-1,1,1
1397,1,0,0
1398,0,1,1
1399,-1,1,1
1400,-1,1,1
1401,0,1,1
1402,1,0,0
1403,-1,1,1
1404,0,1,1
1405,1,0,0
1406,0,1,1
1407,-1,1,1
1408,0,0,0
1409,-1,0,0
1410,0,1,1
1411,1,1,1
1412,0,0,0
1413,-1,1,1
1414,1,1,1
1415,-1,1,1
1416,0,0,0
1417,1,1,1
1418,0,1,1
1419,1,0,0
1420,-1,1,1
1421,-1,0,0
1422,0,0,0
1423,1,1,1
1424,0,0,0
1425,1,0,0
1426,-1,1,1
1427,1,0,0
1428,-1,1,1
1429,0,0,0
1430,-1,1,1
1431,1,0,0
1432,0,1,1
1433,1,1,1
1434,-1,1,1
1435,0,0,0
1436,1,0,0
1437,0,0,0
1438,-1,0,0
1439,1,1,1
1440,0,0,0
1441,-1,1,1
1442,1,1,1
1443,-1,0,0
1444,0,0,0
1445,1,0,0
1446,0,0,0
1447,-1,1,1
1448,1,1,1
1449,-1,0,0
1450,0,0,0
1451,0,0,0
1452,-1,1,1
1453,1,1,1
1454,0,1,1
1455,1,0,0
1456,-1,0,0
1457,-1,0,0
1458,1,1,1
1459,0,1,1
1460,-1,1,1
1461,0,0,0
1462,1,1,1
1463,1,1,1
1464,-1,1,1
1465,0,0,0
1466,1,1,1
1467,-1,0,1
1468,0,0,0
1469,0,1,1
1470,1,1,1
1471,-1,1,1
1472,1,0,0
1473,-1,1,1
1474,0,1,1
1475,-1,0,1
1476,0,1,1
1477,1,0,0
1478,1,0,0
1479,-1,0,0
1480,0,1,1
1481,0,1,1
1482,-1,0,0
1483,1,0,0
1484,1,0,0
1485,1,0,0
1486,-1,0,1
1487,0,1,1
1488,0,0,0
1489,-1,1,1
1490,-1,1,1
1491,0,0,0
1492,1,1,1
1493,1,0,0
1494,-1,1,1
1495,0,0,0
1496,0,1,1
1497,-1,1,1
1498,1,1,1
1499,0,0,0
1500,1,0,0
1501,-1,1,1
1502,1,1,1
1503,-1,1,1
1504,0,1,1
1505,0,1,1
1506,1,0,0
1507,-1,1,1
1508,1,1,1
1509,-1,0,0
1510,0,0,1
1511,-1,1,1
1512,0,1,1
1513,1,0,0
1514,1,1,1
1515,0,1,0
1516,-1,0,0
1517,1,0,0
1518,1,0,0
1519,-1,0,0
1520,-1,0,1
1521,1,0,0
1522,1,0,0
1523,-1,0,0
1524,0,1,1
1525,0,0,0
1526,1,1,1
1527,-1,0,0
1528,0,1,1
1529,1,0,0
1530,-1,1,1
1531,1,1,1
1532,0,0,0
1533,0,0,0
1534,-1,1,1
1535,1,0,0
1536,0,0,0
1537,-1,1,1
1538,1,0,0
1539,0,0,0
1540,0,0,0
1541,-1,0,0
1542,1,0,0
1543,1,1,1
1544,-1,1,1
1545,0,1,1
1546,1,0,0
1547,-1,1,1
1548,0,1,1
1549,0,0,0
1550,1,1,1
1551,-1,0,0
1552,-1,1,1
1553,1,1,1
1554,0,1,1
1555,1,1,1
1556,-1,1,1
1557,0,1,1
1558,1,0,0
1559,-1,1,1
1560,0,0,0
1561,0,1,1
1562,-1,0,0
1563,1,0,0
1564,1,1,1
1565,0,0,0
1566,-1,1,1
1567,0,0,0
1568,1,1,1
1569,-1,0,0
1570,0,1,1
1571,-1,0,0
1572,0,0,0
1573,-1,1,1
1574,1,1,1
1575,0,0,0
1576,0,1,1
1577,0,0,0
1578,-1,0,0
1579,0,0,0
1580,0,1,1
1581,-1,0,0
1582,-1,1,1
1583,1,1,1
1584,0,0,0
1585,-1,0,0
1586,1,1,1
1587,0,0,0
1588,0,1,1
1589,1,0,0
1590,-1,1,1
1591,-1,1,1
1592,1,0,0
1593,1,0,0
1594,0,1,1
1595,1,0,0
1596,-1,0,0
1597,0,1,1
1598,-1,1,1
1599,1,1,1
1600,0,1,1
1601,1,1,1
1602,-1,1,1
1603,-1,0,0
1604,1,0,0
1605,0,0,1
