pair_ID	sentence_AB	E_judgment
203	a nude lady is walking in front of a crowd in organic structure paint [SEP] a nude crowd in organic structure paint is walking in front of a lady	2
204	a boy is checking a calendar [SEP] a boy is throwing away a calendar	2
205	a group of kids is staring at a colorful structure [SEP] four middle eastern children three girls and one boy are climbing on the grotto with a pink interior	2
206	the people are sitting aimlessly on a bench in front of a restaurant [SEP] the people are sitting on a bench in front of a restaurant	0
207	a infant is talking [SEP] the kid is silent	2
208	the back of a small black dog is being sniffed by the brown dog [SEP] a large brown dog and a small grey dog are standing on a rocky surface	2
209	two dogs are running through the beach [SEP] two dogs are running through the parkland	2
210	a dog which has a brown and white coat is holding a baseball in its mouth [SEP] a black and white dog is holding a baseball in its mouth	2
211	there is no man doing a card trick [SEP] a man is playing with water	2
212	an asian adult female in a crowd is not carrying a black bag [SEP] an asian adult female in a crowd is carrying a black bag	2
213	a group of people is gathering at a base at the carnival [SEP] the people are running at a carnival	2
214	the lady is holding the paintbrush next to the artists easel [SEP] the girl in the blue coverall is painting	2
215	a man in blue is riding a horse on a dirt road [SEP] a woman in blue is riding a horse on a dirt road	2
216	the man is pouring some oil on the tomatoes [SEP] a man isnt pouring oil on the tomatoes	1
217	a adult female is staging a dance [SEP] a adult female is dancing and a adult male is playing the keyboard	2
218	many people are skating in an ice park [SEP] a lot of people are in an ice skating park	2
219	someone is taking the okra out of a pot [SEP] someone is boiling okra in a pot	2
220	the mortal is not writing with a pencil [SEP] a mortal is writing	2
221	two people are in the snow wearing clothes that provide camouflage [SEP] some people are in the snow wearing clothes that provide camouflage	0
222	a man is playing a guitar [SEP] there is no one playing a piano	2
223	a woman is looking curiously at a man [SEP] a man and a woman are in a beige room wearing dark colored shirts and a monitor is in the background	2
224	a white woman is standing on a woman dressed in blue on a stage [SEP] two teenage girls are wearing fancy dresses at an event	2
225	the kid is splashing water in a big red pool [SEP] a tot is making a plash inside a blue paddling pool	2
226	a adult male is slicing a red tomato [SEP] a adult female is slicing a tomato	2
227	a woman is riding a horse [SEP] a man is opening a package that contains headphones	2
228	two men are fighting in a cows pen [SEP] two men are outside a cows pen	2
229	a man is crouching down next to a dog and is smiling at a little girl sitting on the sidewalk [SEP] a woman is showing a small dog to an infant	2
230	a guinea hog which is small is gnawing and eating a piece of carrot on the floor [SEP] a small guinea hog is gnawing and eating a piece of carrot on the floor	0
231	the men are not putting suitcases into the trunk of a car [SEP] the men are packing suitcases into the trunk of a car	1
232	a mortal is boiling noodles [SEP] there is no mortal boiling noodles	1
233	a small guinea pig is gnawing and eating a piece of carrot on the floor [SEP] a guinea pig is devouring a carrot	0
234	the women are singing and dancing [SEP] the persons are singing and dancing	0
235	there is no adult male playing a guitar [SEP] a adult male is singing and playing a guitar	1
236	a domestic dog which is white is standing on fallen leaf [SEP] a white domestic dog is standing on fallen leaf	0
237	there is no man exercising [SEP] a girl is exercising	2
238	the male child who is young is running through the ocean waves [SEP] the young male child is running through the ocean waves	0
239	a group of football game players is running in the field [SEP] a group of football game players is standing still in the field	2
240	a man is pouring liquid into a pot [SEP] the chef is carefully drying the oil from the pan	2
241	a man is holding a mask in his raised hand [SEP] a man elegantly dressed in black is wearing an elaborate black mask	2
242	the man is wildly dancing [SEP] a woman is dancing	2
243	a boy is studying a calendar [SEP] a boy is staring at a calendar	0
244	the man is not riding a horse by a creek [SEP] a man is riding a horse	2
245	a man is walking down a road [SEP] the man is not walking along a path through the wilderness	2
246	a man is having fun with water [SEP] a man is doing a card trick	2
247	a adult male in a hat is standing outside of a green landrover [SEP] a adult male with no hat is standing outside of a green landrover	1
248	a white domestic dog is wearing a christmas caribou headband and is playing with a brown domestic dog in the grass [SEP] the white caribou wearing domestic dog ears is near a brown caribou	2
249	a young male child is quickly jumping off a chair [SEP] a young male child is jumping off a chair	0
250	a man is riding a horse [SEP] there is no woman riding a horse	2
251	two dogs are in a kennel on their hind legs and are facing one another [SEP] two dogs are playing with each other	2
252	a mortal is eating in a eatery [SEP] a mortal is making a bed	2
253	two race cars are on a route in front of a grassy parking country [SEP] two cars for racing are on a route in front of a grassy parking country	0
254	a man is being stopped on a rope bridge [SEP] a man is walking slowly across a rope bridge	2
255	the man is playing a piano [SEP] a guy is cheerfully playing with a footbag	2
256	a girl in white is dancing [SEP] the dancer is dancing in front of the sound equipment	2
257	a group of people is equipped with unprotective gear [SEP] a person in biking gear is standing steadily in front of some mountains 	2
258	the snowboarder is jumping off a snow covered hill [SEP] a snowboarder is jumping off the snow	0
259	a domestic dog is swimming after a lawn tennis ball [SEP] a domestic dog is barking at a ball	2
260	two men are not taking a break from construction [SEP] two men are taking a break from construction	1
261	there is no dog in a colored coat running across the yard [SEP] a dog in a colored coat is running across the yard	1
262	a few people are dancing [SEP] a group of people are dancing	0
263	the panda bear is lying on the logs [SEP] a cute panda is not lying down	1
264	the man is standing steadily next to a birdcage [SEP] the man is standing next to a bird cage	0
265	a yellow dog is running down a sandy path [SEP] a golden retriever is not running	2
266	some young dirt bikers are getting a dirt bike up a sandy hill [SEP] a young man is pushing a motocross bike down a dirt hill	2
267	a bride with a black veil is looking down [SEP] a woman is looking down and is wearing a wedding veil	0
268	a adult female is wearing a blue helmet and is riding a bike in a parking lot [SEP] there is no adult female wearing a blue helmet and riding a bike in a parking lot	1
269	a woman is chopping garlic [SEP] there is no woman slicing a fish	2
270	a adult male is stone climbing pausing and calculating the path [SEP] a mortal is stone climbing and a metropolis and a embayment are in the background	2
271	paper is being cut with scissors [SEP] paper and scissors both cut	2
272	there is no mortal wearing grey drawers who is airborne on a snowboard [SEP] a snowboarding adult male is jumping through the air	2
273	a adult male is standing on a roof top and playing a fiddle [SEP] a adult male is standing on a roof	0
274	a man is jumping onto a low wall [SEP] a man is standing in front of a wall	2
275	the adult male is playing the drums [SEP] a adult male is cleaning the sink	2
276	the adult female is poking a tater [SEP] there is no adult male riding a bike	2
277	a cowgirl is riding a horse and corners a barrel [SEP] the brown horse is near a red barrel at the rodeo	2
278	a man is talking to the woman who is seated beside him and is driving a car [SEP] the woman and the man are travelling by car	0
279	the adult female is playing the transverse flute [SEP] the transverse flute is being played by the adult female	0
280	there is no milk being drunk by a cat [SEP] the milk is being drunk by a cat	1
281	two poodles are in the snow and one is lying down [SEP] two poodles are in the snow and one is jumping high	2
282	three friends are making faces for the camera [SEP] three friends are making faces for a photo	0
283	a association football participant is sitting on the field and is drinking water [SEP] a adult female is sitting on the grass and is drinking from a water bottle	2
284	four people are walking on a span over a organic structure of water [SEP] four people are sitting on a span over a organic structure of water	2
285	a adult female is slicing allium sativum [SEP] a adult female is cutting an onion	2
286	two people are in the snowfall wearing dress that provide disguise [SEP] two men are walking two dogs with golden coats in the snowfall	2
287	a young male child is playing in the parkland with his female parent [SEP] a male child in blue is running towards a adult female in blue	2
288	a man in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle [SEP] a racer in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle	0
289	a adult female is pouring eggs into a frying cooking pan [SEP] two dogs are being petted by a adult male	2
290	a monkey is practicing martial arts [SEP] there is no monkey kicking a person	2
291	a dog is barking at a ball [SEP] there is no dog barking at a ball	1
292	a white bird with a yellow beak is standing in the green grass [SEP] a black bird with a yellow beak is standing in the green grass	2
293	a football game participant in a purple jersey is running with the ball for a touchdown [SEP] a football game participant is running past an functionary carrying a football game	2
294	a married couple is walking up the aisle [SEP] a married couple is walking down the aisle	0
295	five people are standing in the grass with three dogs [SEP] five people are standing in the grass with some dogs	0
296	a policeman is sitting tiredly on a motorcycle [SEP] a policeman is sitting on a motorcycle	0
297	the rhino is grazing on the grass [SEP] there is no rhino grazing on the grass	1
298	a man is eating near the kittens [SEP] some kittens are eating	2
299	the surfboarder is riding a small moving ridge [SEP] the surfboarder is riding a big moving ridge	1
300	a white cat perched on a small wooden cabinet is looking outside the window [SEP] the cat perched on the table isnt looking out the window	2
301	one white domestic dog and one black one are sitting side by side on the grass [SEP] one white domestic dog and one black one are running side by side on the grass	2
302	a man is screaming [SEP] a man is scared	2
303	a man is opening a box with a knife [SEP] there is no man opening a box with a knife	1
304	two baby pandas are playing [SEP] two pandas are not lying together	0
305	the woman is wearing a blue helmet and is riding a bicycle in a parking lot [SEP] the bicyclist is riding on a city street	2
306	a man with equipment used for climbing is hanging from a white vertical rock [SEP] a woman with a ponytail is climbing a wall of rock	2
307	a tiger is walking around with no aim [SEP] a tiger is walking around a cage	2
308	a man is participating in a bmx race [SEP] a man is participating in a race for bmxs	0
309	one woman is peeling a potato [SEP] the potato isnt being peeled by a woman	1
310	four athletes are with a man in a crowded stadium [SEP] four athletes are with a person in a crowded stadium	0
311	a adult female is sitting near a flower bed and is overlooking a tunnel [SEP] two people are standing on a bench	2
312	two sumo ringers are fighting [SEP] a man is riding a water toy in the water	2
313	four young men are standing still and a car is exploding behind them [SEP] the boys are not standing in front of the burning car	2
314	the association football participant is not kicking the ball between somebodys legs [SEP] a mortal is kicking a association football ball between their feet	2
315	two teams are competing in a baseball game game [SEP] a participant is running with the ball	2
316	no snake is being fed a mouse by a man [SEP] the man is cautiously feeding a mouse to the snake	1
317	a little girl is playing the violin on a beach [SEP] the girl is standing on the couch and crocheting	2
318	a ball which is green and big is knocking a potato [SEP] a large green ball is hitting a potato	0
319	one man is sitting steadily on the chair [SEP] one man is sitting on the chair	0
320	a dog is looking at a store counter [SEP] there is no dog looking around	1
321	there is no adult male dancing [SEP] a adult male is singing	2
322	the woman is waterskiing [SEP] a woman is wakeboarding on a lake	2
323	the little girl in a pink shirt is running under a tree in the desert [SEP] a little girl in a pink shirt is running under a tree in the desert	0
324	some men are sawing [SEP] there are no men sawing	1
325	a family is watching a little boy who is hitting a baseball [SEP] a family is watching a little boy who is missing a baseball	2
326	there is no adult female frying something [SEP] a adult female is frying something	1
327	two persons of large size are sitting on a park bench and they have a bottle of soda between them [SEP] two large persons are sitting on a park bench and they have a bottle of soda between them	0
328	the man is rock climbing [SEP] a man is cooking a snake	2
329	a horse is leaping a hurdle and has a rider on its back [SEP] the horse is leaping over the rider at the barrier	2
330	a baby elephant is eating a small tree [SEP] a little girl is selling a scooter	2
331	the person isnt dicing up an orange pepper [SEP] the person is dicing up a pepper which is orange	1
332	a woman is swiftly snowboarding down an incline and another woman is standing behind her [SEP] a woman is snowboarding down an incline and another woman is standing behind her	0
333	a brown and white dog is jumping in the air with a tennis ball in its mouth [SEP] a dog is caught mid air with a ball	0
334	noodles are being boiled in water by a woman [SEP] a woman is boiling noodles in water	0
335	the little male child is singing and playing the guitar [SEP] a guitar is being played by a infant	2
336	two dogs are running and trying to catch a association football ball [SEP] two dogs are running and trying to catch a ball	0
337	a adult male is cutting an onion [SEP] there is no adult male opening a door	2
338	a adult male with tattoos is lounging on a sofa and holding a pencil [SEP] a adult male with tattoos is lounging on a sofa and is looking for a pencil	2
339	a adult male is trekking in the woods [SEP] the adult male is not hiking in the woods	2
340	a adult male is opening a packet that contains phone [SEP] a adult male who is wearing phone is opening a packet	2
341	a adult male is sitting on a railroad train and resting his hand against his human face [SEP] the bearded adult male is not sitting on a railroad train	2
