premise,hypothesis,label
Ashkenazi Jews come from central and eastern Europe.,Ashkenazi Jews come exclusively from North America and Australia.,contradiction
Mountain bikers can call Escape the CityStreets to arrange a more rugged ride through the canyon's Cottonwood Valley.,Mountain bikers cannot ride through the canyon's Cottonwood Valley.,contradiction
The council wants to meet with you.,The council doesn't meet with people like you.,contradiction
"The neighborhood south of the Vatican, Trastevere, literally across the Tiber, has long been renowned as the most popular quarter of Rome.",Trastevere is north of the Vatican and is the least popular part of Rome.,contradiction
This litigation involves CCLS's challenge to certain actions taken by the LSC in connection with the LSC's consolidation of services areas (undertaken as a cost-cutting measure) and implementation of a competitive bidding program for grant money.,There is no connection between the CCLS's challenge to certain actions taken by the LSC and this litigation.,contradiction
"'You're going to have to shut up about Benjamin Fucking Franklin right about now, or I'm going to kill you.'",The conversation continued very pleasantly on the topic of Benjamin Fucking Franklin.,contradiction
Underneath the building is a small lake which provided the inspiration for the phantom's hiding place in Paul Leroux's Phantom of the Opera.,"Underneath the building, there is a small lake.",entailment
He did not jump up and down,He stood still.,neutral
"A large percentage of the people that come before me do not have attorneys, Sarmiento said. ",A lot of people in court don't have attorneys and they are more likely to go to jail.,neutral
But if you look at the date at the top of the letter you will notice that 'July 17th' is quite different in this respect. ,The date was different in this regard.,entailment
"At any time at least one of the white ships is loading or unloading cars, cargo, or passengers, so there's always plenty of maritime action for you to savour at leisure.",There is always at least one white ship unloading some form of cargo.,entailment
Milne said she may ask the board overseeing her organization to give her until November to seek funding from additional sources.,Milne said she had all the time she needed to find more funding.,contradiction
And now the big boys want to cash in.,The boys want to withdraw their funds.,entailment
"In the meantime, they don't tend to elevate discourse.",They try to elevate discourse in the meantime.,contradiction
"""An' these here they're Rennie's Pimas, what o' 'em is runnin' th' trail this trip."" So these were the famous Pima Scouts!",The famous Pima Scouts arrived via horseback.,neutral
"In 1782 an Irish parliament (Protestant) was formed in Dublin, largely through the energies of Henry Grattan, MP for the city.",An Irish parliament was formed in Dublin.,entailment
loves that's right loves the little dog loves to travel of course she's dead asleep before we get to the end of the block and she never you know she sleeps the whole time but she loves to travel,The little dog is a two year old cocker spaniel.,neutral
" The room seemed normal enough, in spite of the odd smells.",The room smelled so fresh and clean.,contradiction
blood pressure yeah they sit there in the cafeteria sometimes and take that on your way out,They take your blood pressure in the cafeteria.,entailment
"Computer users, and others with access to information resources, cannot be expected to comply with policies that they are not aware of or do not understand.",It is illogical to demand that computer users comply with policies they don't understand or were not made aware of.,entailment
"Then he grows older knowing no fear or strangeness.""The Mexican looked from Drew to Don Cazar, his shock fading to puzzlement.",The Mexican was beginning to be confused by Drew and Don Cazar.,entailment
Jim is one who has always given as generously of his time as he did his money.,"Jim spends hours every week volunteering and donates $10,000 a year.",neutral
None of them had eyes for anything but what Jane held in her hand.,Everyone was looking at the thing in Janes hand.,entailment
"Farther south is Koyasan, the center of the Shingon branch of esoteric Buddhism and one of Japan's most important religious enclaves.",Koyasan is one of Japan's most prestigious religious enclaves.,entailment
"No one wanted to go in, even when forced.",Everyone was eager to get inside.,contradiction
"The argument is subtle and carefully developed, lacking anything even faintly resembling the wild claims or irrational speculation that a lunatic might produce.","They quickly created their argument, and it was obvious.",contradiction
Most hikers start the climb before dawn because of the extreme heat here even in spring and autumn.,Spring and autumn do not have extreme heat.,contradiction
"You're a good sort, Tommy.",Tommy is a bad person.,contradiction
"System administrators are important because they generally perform day-to-day security functions, such as creating new system user accounts, issuing new passwords, and implementing new software.",Day to day security functions are normally performed by system administrators.,entailment
"In reference to David Franklin's Trials of Socrates, which is subtitled, It's worse than sexist.",David Franklin has never written about Socrates.,contradiction
and well they don't call it remedial reading these days they call it something else but but anyway at the time that's what i taught and um,They change the wording of it sometimes.,neutral
Nye was in here 'bout five minutes ago.,Nye was here at 4:30.,neutral
"Gosh, why didn't we think of that?",We already thought of that.,contradiction
"The most extensive study and analyses has been based on data from two prospective cohort groups, often referred to as the Harvard Six-City study (Dockery et al.",The Harvard Six-City study is very minor and did not receive much analysis.,contradiction
"We'll have a look around this evening, anyway.",We're not going to look around this evening.,contradiction
Annual value of the satisfaction of owning and operating this amazing  W .,I will be satisfied for a long time while owning the amazing W,neutral
Table 3.3 summarizes the features of the critical instance case study.,Other tables in the report contain statistics related to critical instance case study.,neutral
"Together they trotted up the rise, Red, as usual, in the lead.",They scuttled in a single file up the rise.,neutral
"Ripley's Believe It or Not! offers lightweight entertainment, starting with the Tyrannosaurus rex towering above the entrance (6780 Hollywood Boulevard at Highland Avenue).",Ripley's Believe It or Not! is well known as a serious place of study.,contradiction
"Third, how rigorous and defensible would customer-specific costs have to be in order to qualify as an acceptable base for a contract, and would the costing receive review by any outside party?",They know an outside party would cost nothing.,contradiction
"When Israel began constructing apartment buildings in Arab East Jerusalem last March, PA security stopped relaying intelligence about the operations of Hamas' terrorist wing.",Israel's government spent billions of dollars hiring workers for the construction.,neutral
"Since its founding in 1895, the National Trust has preserved nearly 100 farmhouses and the surrounding land as well as many other historic structures throughout the region.",The National Trust has been helping farmers remain in their homes and providing crops for their communities.,neutral
you mean gas  yeah and now i don't know about down there but up here they got the pumps you just put your because i always put my gas on a credit card and i pay it at the end of the month,I always pay for gas using my credit card.,entailment
but you still do it anyway,You do it because it is important.,neutral
That wasn't how it was done. ,"No, it wasn't done like that.",entailment
"For a town of barely 5,000 inhabitants, Bocairente's two small museums are the Museo Histerico (Historical Museum) is noted for a collection of Stone Age pottery, and the Museo Parroquial (Parish Museum) exhibits important paintings by Juan de Juanes, Ribalta, and Sorolla.",The small town has no museums or even any works of art. ,contradiction
Two minor pits sunk eight feet below ground.,The pits would be used to bury the dead men. ,neutral
"It was an impossible order, a suicidal mission.",The mission seemed happy and fun. ,contradiction
"Japp then produced the charred fragment of paper recovered from the grate, and this, with the discovery of the beard in the attic, completed his evidence. ",Japp had lost the charred fragment of paper from the grate.,contradiction
it's just awful i i as i say i'm isolationist i think we need to to close our doors to some of the immigration and now they're talking about how we're bound to have an influx of immigrants from the latest war from Iraq Iran Saudi Arabia so on and so forth and uh i'm i'm really sorry that i feel the way i do but i just think that we need to not take people as we have over the many last many many years,I'm an isolationist and I want to stop immigration from the Middle East.,neutral
"21 However, at the agencies we visited, managers used performance information and shared this information with front-line employees through various mechanisms.",They visited agencies where information was shared with employees.,entailment
The nuns in the convent here preserve their seclusion; visitors must have special permission to enter.,"The nuns do not make any effort to protect their seclusion and visitors can come and go whenever they wish, without having to obtain permission.",contradiction
"How do you forbid the kids to practice what you, er, practice?",Kid's are never forbidden from an activity merely politely asked.,contradiction
A bigger economic pie would make it easier for future workers to meet the dual challenges of paying for the baby boomers' retirement while achieving a rising standard of living for themselves.,The standard of living will rise with the growth of the economy.,entailment
oh yeah i'm afraid i'm a TV flipper anything bad i like i like to flip  i flip it off but it is sad it's sad yeah,It's sad that I'm a TV flipper.,entailment
you know since the women's movement in the well seventies and you know we've come a long way but i think it's still a still  good ways to go,The women's movement solved everything and we don't need to do anything anymore.,contradiction
you know i mean i i know that the problems are so deep but i mean even even within the Muslim uh religions different sects they can't get together,Different sects within the Muslim religion are not united.,entailment
Take time to explore the exquisite Moorish stonework and the elegant domes and minaret.,Take time to explore the graveyard and elegant tombstones.,contradiction
but but uh you know i mean the real world doesn't work like that or at least it shouldn't but it seems to in government,They're horribly inefficient and prioritize special interests.,neutral
a little town called Tuckaho over by White Plains,The town is very small.,neutral
um i had a friend who had fixed some uh chili buffalo chili and about a week before went to see the movie of course they raise them now you know to eat,He went to see the movie about three years ago.,contradiction
An array of techniques such as graphic displays has been developed to help standardize case study analysis.,Case study analysis utilizes techniques like graphic displays.,entailment
Thar's parts maybe even an Injun ain't seed neither.,There are parts that even Indians can't see.,entailment
yeah but it's a shame that oh it's not so bad for the court system because the money there isn't being spent but there's awful lot of money in time and effort spent in preparing for trial only to then finally get scared enough by going to the court and usually it's the scare kind of of the jury because you really don't know one way or the other how that jury is going to feel you could feel that you really have a very strong case,it's a shame that people get scared of going to court after spending time and money preparing,entailment
and little things like that i i've noticed the speed difference in and i do some graphics uh i haven't done any well i've done a little bit for the for the house at work but uh if i were to bring it home uh or have a machine at home i would like to be able to put together small uh brochure type things with the the front page being a little little bit of graphics and the inside being printed in a uh what i would call a booklet form there are some editors that will produce uh the you know print it sideways and and collate it in such a way that this page comes out right so that you can fold all these eight and a half by elevens and make a little booklet and,I would have done tons of graphics with the proper tools.,neutral
Morris controls the voting process.,Morris doesn't control voting.,contradiction
"Assuming no postal price change, this implies a 2.7 percent reduction in revenues from sales to household, or $135 million reduction in revenues, same as a 10 percent price increase.",From sales to household there was a 5 percent revenue increase.,contradiction
um i guess the last book book i've read um my oldest daughter,I read to my daughter. ,entailment
The one item that did not change in the Postal Service update was the contingency.,There was not one item that didn't change in the Postal Service update.,contradiction
"Indeed, the name Balearic may come from the Greek ballein,  to throw.  ",Balearic is a name that may have its origins in the word that means to throw in Greek.,entailment
Power generation emissions of SOx and NOx for each of the scenarios is presented in The Clear Skies  Technical Support Package.,Levels of NOx were found to be more dangerous than SOx.,neutral
'Why do you follow White?',Why aren't you following Mr. White? ,contradiction
uh-huh well i think that there are many cases where uh the judges probably do make the decision rather than the jury Our situation was somewhat different uh in view of the fact that uh we haven't we were a landmark case it was the first time in the state of Ohio that um D N A testing was entered as evidence,The judges make the right decision when it is in their hands.  ,neutral
well that makes it more my parents have the same kind of deal too,My parents don't know about that kind of deal so I'll tell them. ,contradiction
Others may pause to wonder why Connecticut--and 19 other states--needs an antitrust policy separate from that of the United States.,Some people will question why Connecticut need a special policy.,entailment
The homes in the hills are regarded as somewhat more prestigious than those in the flats. ,The hills provide a superior view than the flats.,neutral
"If you wish to make a booking before you arrive in the UK, dial 00 44 and then the number of the establishment you require.",All UK numbers start with 00 44 for outside calls.,neutral
The realignment reduces the number of issue areas from 31 to 11.,Realigning reduced the number of problem areas from 31 to 11. ,entailment
"There are, however, dozens of shops specializing in Tibetan antiques and other Tibetan souvenirs.",The shops selling Tibetan antiques are found on one street. ,neutral
"The implication is that the local FBI office is in cahoots with Brown &amp; Williamson, but we hear no more about it; we never even know if Wigand got his computer back.",That means that the local food store is in cahoots with Brown and Williamson.,contradiction
"A quiet, intelligent-looking man, rather shabbily dressed.",He was smart buy had poor clothing.,entailment
and it just seems to fit nicely so that i can get it read in about three days,I could read it one day if I crammed it.,neutral
Downtown's Grand Central Market on Broadway is L.A.'s oldest and largest open-air produce market.,The product market on Broadway usually has rotten food.,contradiction
"In order to learn the meaning of events to those involved in them, a key element of case studies, the views of more senior officials are not given greater weight than views of less highly placed persons.",A key element of case studies is that senior officials opinions are treated as gospel.,contradiction
"One wing houses the Jamaica Archives and Records Office, which preserves original documents from throughout the island's history.",The history of Jamaica as told in it's original documents is tailored to fit Jamaican customs and not real.,neutral
"Pimephales promelas (48 h, 25EC)3 Ceriodaphnia dubia (48 h, 25EC)3 Mysidopsis bahia (48 h, 25EC)5 Menidia beryllina (48 h, 25EC)5",None of these are compounds.,contradiction
"I bolted around a corner, almost ploughing into a small family.",I ran around the corner and came face to face with a mom and two kids.,neutral
Experiencing just nine of them will give an impression of the whole.,Visitors can get a good understanding of the whole by seeing only nine of them.,entailment
", also on certiorari to the same court.",They were dramatically different venues.,contradiction
"Generally accepted government auditing standards make GAO analysts and financial auditors responsible for planning, conducting, and reporting their work in a timely manner without internal or external impairments to the work.",GAO analysts plan and conduct their work with strict new auditing standards.,neutral
"Oh yes, we must go on hoping. But over her downcast head his eyes met Julius's, and almost imperceptibly he shook his head.",He really thought there was hope.,contradiction
" In the summer months a Discobus runs from Ibiza Town (from around 11:00 p.m. ) to some of the major clubs, so you don't have to drive.",You can catch the bus back to Ibiza Town after clubbing.,neutral
"The calls come from people like Tina Lavery of Scotia, wife of a self-employed auto mechanic.",Tina Lavery of Scotia is the wife of a self employed auto mechanic.,entailment
this is pretty unseasonal unseasonal but um at least we you know it it it feels good it gets uh everybody doesn't have cabin fever today it's nice to get out and about,The weather typically isn't this nice around this time and can change at any moment.,neutral
and but uh you know we don't even have vehicles that will do that they they have to get uh a truck of sand and uh uh four or five laborers up there just spreading it by hand,We've got plenty of vehicles that can distribute sand on the road and all you need is the driver. ,contradiction
"Politically, however, such a platform probably won't get you very far.",This is because the public isn't likely to be receptive to such a platform.,neutral
Her open gloved palm smashed into his face and she kicked him hard in the chest.,She began beating him.,neutral
yeah i know what you mean yeah they're fuel injected and so there's,They're fuel injected but still need more horsepower. ,neutral
i'm trying to think where we were i don't remember where we were,I know where we were. ,contradiction
uh do you have one,i can see that you don't have one,contradiction
so my ex decided we're going to try camping and she went out one day on the spur of the moment and bought a tent,My ex bought a tent to try camping.,entailment
"4 million in city funding for civil legal services work done by the Legal Aid Society and Legal Services for New York City, which the Mayor had proposed cutting.",The Mayor would like to reduce the subsidy for the Legal Aid Society and Legal Services by around $4 million.,entailment
"Thus, the President directed EPA to propose legislation that would significantly reduce SO2, NOx, and mercury emissions from power generation through a cap and trade program.",The President directed the EPA to propose legislation that would reduce emissions for power plants in the US.,neutral
that's uh i that's what i've heard people say is they'll never go north of the Red River again,They said that they will steer clear of the north of the Red River.,entailment
"Dear Santa, Thanks so much for all you did last Christmas.",Santa brought many presents to everyone involved.,neutral
he had a swordsman to train his people.,His people got no training.,contradiction
uh what do the Mark sevens usually run,How much do Mark Sevens cost?,entailment
"Combating  Selected Challenges and Related Recommendations (GAO-01-822,September 20, 2001).",How to Fight Some Challenges and Recommendations Related to It,entailment
and i know they do they've got to know,"i know that they know, because there's no way they couldn't",neutral
"More importantly, however, the growth of manufacturing--and of the penumbra of other jobs that the new export sector creates--has a ripple effect throughout the economy.",Manufacturing has been increasing.,entailment
and eat it yeah,DOn't eat that!,contradiction
It is always futile to try to draw practical lessons from history.,History has many lessons but they're hard to decipher ,neutral
"He's younger than you, but I'd say""the gambler studied Drew's lithe body critically ""you're about matched in weight.",Drew has a big body.,contradiction
"There is work at the corrals, but he will decide. ","Even though there is work at the corrals, he would decide.",entailment
yeah why you can't still go fast so what's the difference that's what i don't understand you know they're making it so that they're talking about the wind current and how how efficient it is but if you can't go fast you can't go fast i don't care how sleek they make it it just makes sense to me It's like they're making a a model of a speed car when you can't go fast,Why would they make a speed car that can't go fast?,entailment
"Instead, I believe we need a version of the serenity prayer: Economists need the skills to do quantitative research, the knowledge needed for qualitative research, and the wisdom to know when each is appropriate and what its limits are.",I think we need a new version of that prayer that applies to economics.,entailment
95 billion in revenues.,It's revenue was 95 billion yen.,neutral
Top leadership-both political and career-needs to make clear its commitment to the fundamental principles of results-oriented management and ensure that managers and staff at all levels recognize that they must do the same.,"With results-oriented management, costs will go down and employees bonuses will increase.",neutral
SAT rate well it also has the highest teen suicide rate too so i mean that and this is national  i don't know where it's all going to  where it's all going to go,The Teen Suicide rate is abnormally low.,contradiction
"The third took too much space, was pressing into the mattress and creaked with every turn.",There was lots of space available around the third.,contradiction
"It winds its way past piney coves, mysterious cliffs, and quiet beaches.","It goes through wooded areas, serene beaches, and rocky terrain.",entailment
"The San Francisco Giants are planning a similar arrangement for their bayfront stadium, assembling about $240 million in private funds and persuading the city to pay for some of the infrastructure.",The city is being convinced to pay for some infrastructure by the San Francisco Giants.,entailment
"Where an excepting provision in a statute is found unconstitutional, courts very generally hold that this does not work an enlargement of the scope or operation of other provisions with which that provision was enacted, and which it was intended to qualify or restrain.","If something is unconstitutional, courts never say it doesn't work as an enlargement of the scope.",contradiction
Can you resend?,Can you send it for the first time?,contradiction
"Modern systems take the hot flue gas directly into the absorber, where quenching occurs.",Hot flue gas is used in modern systems.,entailment
We broke four barrels on the supports and pulled the mountain down on them.,The supports had five barrels.,neutral
"Reliefs depict Ptolemaic Pharaohs worshipping Horus, and the interior carvings of their food offerings are especially impressive.",They additionally carved hot ladies and pets for the Pharaoh. ,neutral
Both Seleyman and Sinan (the latter lived to be almost 100) are buried nearby.,The resting places of both Seleyman and Sinan can be found nearby.,entailment
he has no intention of going back to the Philippines because there's no jobs,He does not intend to return to the Philippines.,entailment
