premise,hypothesis,label,original_index
Three painters are painting the railings of a pier.,Nobody is painting.,contradiction,71449
Indian people are walking through a village.,there are villages in india,entailment,281639
one policeman sitting on his motorcycle with two fellow policeman standing to the left,Three police officers are near each other.,entailment,483898
Three youths standing at the top of stairs talking.,Kids playing at the park.,contradiction,377919
The men's rowing team in their green boat is practicing for their upcoming season.,The men's rowing team is on the lake,entailment,165109
man holding a book and looking away from book.,Woman holding a book and looking away from book.,contradiction,510004
Kids preparing to leave on a scuba diving adventure in clear bluish green water.,They have identical gear.,neutral,184417
Dirt bikers riding off a jump.,People riding skateboards down a hill,contradiction,447956
High above the ground two people cross a large yellow bridge on foot.,The people are crossing a bridge.,entailment,394284
A buy with a pale on a beach.,A boy on the beach.,entailment,255829
a doctor taking a patients blood pressure.,A doctor is checking a patient for high blood pressure.,neutral,301867
"a fit, white man wearing a sleeveless tank top, black jogging shorts, and orange shoes running on the sidewalk next to a river.",The man is wearing a tutu and learning to do ballet.,contradiction,432663
Tall Brunette in workout clothes walks with shopping bags,A woman and man is having a romantic picnic.,contradiction,506241
individual on rocks with a waterfall in the background.,"A person in front of the waterfall they just got carried down, after narrowly surviving the fall.",neutral,537892
"Wakeboarder pulls off a Stalefish, a pretty tricky bend of your body when grabbing your board.",A wakeboarder is bending their body while grabbing their board in a trick,entailment,532651
Young riders on an amusement park ride.,Young Riders riding an amusement park ride with parents,neutral,549680
"Six bicyclists race towards the left, the two in the back are crashing into each other.",There is a bicycle accident.,entailment,342101
A law enforcement official has a suspect seated on the ground in his custody.,the official has the suspect standing up,contradiction,404701
Girl gives treat to jumping dog.,A girl giving a treat to her pet dog.,neutral,243593
A demonstration for a very strongly held point of view.,A prochoice demonstration.,neutral,510518
Fans dressed in white and orange fill a large stadium.,Fans fill a stadium.,entailment,19660
Cyclists competing in a race are coming around a bend in the road.,Bicyclists are riding down a straight stretch of highway.,contradiction,48998
Men discuss something while in front of stand.,The men are fighting,contradiction,147338
A 2 year old boy swings in the backyard.,A boy uses a swing at a play area.,neutral,11090
all boys team pep meeting with mascot.,The girls volleyball game has just ended in a loss.,contradiction,44606
Three city workers in hard hats are pouring cement from a truck and laying sidewalk.,The workers are pouring cement for a new sidewalk.,entailment,342789
Number 21 slides into second base as number 4 runs to first base.,One number is going to second base.,entailment,82058
Guy riding a bicycle down a grassy trail.,A man rides a bike.,entailment,314816
A reddish brown dog walking in water carrying a stick in his mouth.,A reddish brown husky walking in water carrying a stick in his mouth.,neutral,300214
Librarian in black and a library patron in white thumb through a book.,The library patrons are filling the book with gasoline.,contradiction,159888
A busboy cleaning the table at an outdoor restaurant.,A boy working at a restaurant is cleaning the table for customers,neutral,453475
There's two men typing on a computer.,Two men are running a race.,contradiction,374290
An attendant is taking a break reading a newspaper at his desk overseeing chicken coops.,A worker waits to be relieved so he can go home.,neutral,384917
Everyone attends a wedding of a loved one.,Nobody is at the wedding.,contradiction,23601
A social gathering in the local park.,The people are outdoors.,entailment,109873
The collie dog is leaping through a red ring.,Three people are watching the dog's performance.,neutral,56627
Man talking on a microphone and a crowd of people in front of him.,A man talking on a microphone and alone.,contradiction,365960
Kid standing and looking determined in the playground,A kid waits for his turn on the slide in the playground.,neutral,142536
A lifeguard dressed in red sitting at their post.,The shark is swimming in a pool.,contradiction,302161
A unhappy toddler in a blue jacket sitting on the hot sand.,The toddler is floating in the pool.,contradiction,262843
"Male teenager wearing red shirt, black and white shorts and white bandanna sitting on black railing.",Nobody is sitting.,contradiction,347962
A violin player with a painted face is playing in front of a crowd.,A woman is performing for a crowd.,neutral,395956
Man enjoys food at family style eatery.,A man is eating too much food.,neutral,548627
Musicians preparing to entertain people in a club.,Musicians are at a club.,entailment,431732
A Marine officer saluting.,A marine is saluting his commanding officer.,neutral,267685
a brunette girl wearing sunglasses and a yellow shirt,A woman in yellow wears sunglasses during a walk.,neutral,444718
kids straggle behind father in graffiti covered alleyway,A family sits in their living room.,contradiction,429719
Shadowy figures on a balcony talking.,The balcony is empty.,contradiction,4864
Women holding child in a blue sweater on his feet.,The child has a red sweater on his feet.,contradiction,477292
Odd child with fake eye barrows and a cut on his lip holds out his right hand.,The child is doing cartwheels.,contradiction,41062
People laughing and eating cotton candy.,People are eating a sugary food.,entailment,279801
Shirtless middle-aged man crouching over on top of a roof.,The man is fixing the roof.,neutral,520154
"A horse, ridden by a jockey, is completing a jump over a fence.",Horse eating grass,contradiction,285954
A BMXer is getting high air off this ramp in the forest.,A Bike rider bikes down the boardwalk.,contradiction,112126
Five musicians holding their instruments pose for a photo in front of a backlit arch.,Musicians are posing with their fans.,neutral,472401
Beautiful scene of a building in shadow with birds flying and a colorful sunset in the background.,The birds are black.,neutral,422346
Here we have four people filling up plates at a buffet.,People put fried chicken on their plates at the buffet.,neutral,182904
Brown ramp structure with a person on ski's in midair.,a skiier going off a jump,entailment,236195
The lake looks very shallow.,There is seaweed at the bottom of the lake.,neutral,520508
three bikers stop in town.,A group of bikers are in the street.,entailment,243
Spanish men playing music in a city.,Spanish men playing music.,entailment,525422
"Two speedboats, a white and a red one, seem to be racing each other along a body of water, with a cast green forest in the background.",The speedboats are going fast.,entailment,445358
An onlooker peers from above to watch a construction worker below carefully cements stone squares in place for an outdoor walkway.,The onlooker is watching a woman walking along a footpath heading toward a bridge.,contradiction,206346
The rottweiller is laying with its head and paws on the first step of the green carpeted stair.,The dog is sleeping.,neutral,381361
Light colored dog running with a ball in its mouth.,A dog is running.,neutral,123916
The baker is working on machine.,bakery worker repairs bread making machine,neutral,389544
Different kind of people roaming around in a public market,dogs roaming around a market,contradiction,234427
Two helmeted police officers on horseback turn back towards the direction of the camera.,Two police officers on scooters turn back towards the camera.,contradiction,186096
"A petite female, wearing a blue blouse and white skirt, carrying a tan purse, walking through a busy downtown shopping district.",She is trying to find a Birthday present for her friend,neutral,139627
"Two firemen, dressed in uniforms, are walking out of the firetruck onto the sidewalk.",the firemen are On a rescue operation,neutral,284348
Woman sets in cage and plays with rabbits.,The woman is a volunteer for an animal shelter.,neutral,45642
People brace themselves on a carnival ride.,People are bracing themselves on a carnival ride.,entailment,90342
Three drummers are standing in front of abstractly shaped wood drums.,Drummers are standing in front of cats.,contradiction,150415
Dogs wearing numbered jerseys running at a track.,Dogs are scampering across a vast beach.,contradiction,64671
Someone giving someone a tattoo.,a person is getting a tattoo,entailment,115360
people making strawberries drink on a hot day.,the people went skiing on this cold day,contradiction,169943
Watchers of a parade remain seated while others walk the street where the debris remains.,The people left a lot of debris after the parade is over.,neutral,488141
young girl in floral dress walking down street,A little girl is going to an Easter party.,neutral,466171
A five member band is performing live music.,A group is playing music for people.,neutral,277231
The coaches of the USA Olympic Men's Basketball team are standing on a basketball court with their hands over their hearts.,The USA team is playing basketball,neutral,239706
Worker loading handicapped man in wheelchair onto a train.,The worker hates his job.,neutral,113917
Woman walks in front of building carrying purse close.,THe woman is holding a wallet.,contradiction,216704
This men performs in front of people while dancing and having mask on face.,The man wear mask.,entailment,100202
Cyclist in green shirt doing trick on wooden ramp,The children are sitting proudly.,contradiction,248033
Distinguished looking gentleman with a microphone has a red and yellow prize ribbon pinned on his lapel.,A gentleman prepares to speak.,entailment,308401
A african descent male is repairing the clothes using his sewing machine.,An African descent male is sleeping on top of a sewing machine,contradiction,402409
Three ice skaters round a corner.,The ice skaters are around the corner,entailment,102332
A sweet toddler looks out of a basket.,A young child looks around.,entailment,536726
An attendant in a beige uniform and red middle-eastern hat pours liquid from a gold pitcher into a cup while woman sits reading a magazine by a window behind her and a man wearing a striped shirt carrying an electronic device approaches her.,People are inside a building,entailment,433927
A stadium full of people watching a tennis match.,The stadium is full at Wimbledon.,neutral,188119
Several workmen in safety vests are having a conversation.,The workmen are interacting with their voices.,entailment,339737
Two silhouettes of joggers as they go under a dimly lit tunnel.,They are jogging at night.,neutral,287880
An urban street corner features a white van and a bicycle rider to the left of a brown building which has a variety of objects on display in front of it.,The brown building is a retail shop.,neutral,213195
A lead singer and a guitarist are pictured in this concert photo performing one of their songs.,A drummer sits behind a couple of his bandmates.,neutral,503302
Synchronized Swimmers with blue bathing suits.,Swimmers wearing red bathing suits.,contradiction,77931
Discussing the rainy weather.,It will be sunny tomorrow.,neutral,42276
Two homeless men sitting next to a building with a shopping cart.,Two men in nice suits are inside a store.,contradiction,180137
Caucasian man on bicycle rides in front of two old yellow buildings.,A man is running on the race track.,contradiction,464171
View of a mountain as seen from a kayak.,A view of a city as seen from a kayak,contradiction,153914
Little dog chases ball at farm,A small dog is getting exercise.,entailment,243959
Square dancers decked out in green and white square-dance attire circle around on a tiled patio with arches and palm trees in the background.,a group of dogs are drinking punch,contradiction,259246
a sheep chases a dog.,A sheep is chasing a dog.,entailment,409482
A knife cutting into a piece of fish.,A fish is being cut.,entailment,410391
An escape artist wearing Converse high tops struggles on one foot as a crowd looks on.,An artist is painting a portrait.,contradiction,396856
several kids standing around on the streets one playing with a ball,"Several children are sitting on the streets, and none are standing.",contradiction,419539
"Caucasian child wearing a red jacket, Standing near a tree.",A tree has lots of green leaves.,neutral,45000
"A yong woman peruses available magazines while in the waiting room decorated with Vincent Van Gogh's ""Sunflowers"".",The woman is looking at a magazine about health.,neutral,281226
These three people are playing instruments while sitting in front of sheet music stands.,A group plays a song they aren't very familiar with.,neutral,331465
The bird's feet are grasping the window tightly.,The bird is in a metal cage.,contradiction,267375
Huge crowd at a Birmingham event.,The Birmingham event has a very small amount of people attending.,contradiction,547469
A rescuer is being lifted from the water upward into a helicopter.,A rescuer is swimming happily in a lake.,contradiction,187143
People racing on ATV's in full protective garb,People are racing ATV's.,entailment,229711
"The motorist driving a Toyota Camry is approached on a heavily congested road by a solicitor wearing a knit cap, read T-shirt, and blue lightweight jacket.",man begging for coins,neutral,65250
Barefooted woman is spinning yarn.,A woman is at home.,neutral,41612
Comical man pushing his fist against a broken concrete tile.,The comic punched his fist into the concrete tile.,entailment,486233
A troupe of flamboyant clowns.,Clowns are sleeping.,contradiction,47793
people holding on to a moving bus,People try to make the bus stop by grabbing hold of it.,neutral,162467
A 90-year-old woman blows out the' 9' and' 0' candles on her birthday cake at the dinner table.,The woman is sleeping on the couch.,contradiction,480312
Man scraping snow and ice off of the car with a red house in the background.,A man works outside in the cold.,entailment,362291
Two city cops wearing black helmets and neon jackets ride horses across a street.,Horseback officers patrolling their beat.,entailment,85866
Two mowers cutting down palm tree branches in a nearby community college during a windy day,The palm tree branches are swaying in the wind.,entailment,348400
Large black and white dog jumping hurdle,the dog is eating dog food.,contradiction,45408
Tourist wife upset with husband who ca n't makeup his mind.,The wife of a tourist is upset with the man that can't make up his mind.,entailment,279354
Female distance runner participating in a race.,A runner is in a race.,entailment,516171
A diver underwater posing next to a large aquatic organism.,There is a diver in pool.,entailment,113944
A one-armed man in a brown shirt sits in a chair facing the camera.,A woman stands in front of the camera.,contradiction,479918
"These guys are either getting ready to go skiing, or just got back from skiing.",the guys are skiing with friends,neutral,513061
Horses and jockeys running in a turf race.,The jockeys are moving.,entailment,210616
A patrolman rides a horse through the city.,the man is keeping the peace,entailment,223020
A ski jumper enjoys winter fun.,A skier likes the winter because he is a polar bear.,contradiction,265386
Many small sailboats sitting at a dock., Many sailboats sitting at a dock.,entailment,461050
"Young dark blond-haired boy in a blue shirt, in a store during the day, drinking chocolate milk from a container and smiling.",A boy is drinking a soda.,contradiction,117803
"One nun being patted down by a TSA agent in front of an American flag, while a civilian looks on.","A woman is searched by a TSA agent while people look on, disguested.",neutral,378339
The dark brown dog is playing with the light brown dog.,The two dogs are playing tug of war with a rope toy.,neutral,302913
Drummers march down the street.,Drummers march.,entailment,318730
A troupe of dancers performs in a parade.,The elephants danced around the mall.,contradiction,108358
A server with a whistle in his mouth is carrying a tray of platters up the stairs.,Server carries dishes up stairs,entailment,406248
Nine men wearing tuxedos sing.,Nine men wearing tuxedos sing musicals.,neutral,268240
Religious people wearing white with bald heads hold their hands in a praying position.,The religious people are wearing black.,contradiction,23001
An Elton John looking fella playing an instrument on stage.,Someone plays with a soccerball.,contradiction,276027
Children head down the street next to vehicle traffic.,Children by the street.,entailment,310323
Marching bands in formation on a field.,THe bands are sleeping.,contradiction,429230
Dad is adjusting daughter's bike.,The Dad is helping his daughter.,entailment,368688
A boarded-up painted white brick building with a man standing in front.,A man is standing in front of a white painted building.,entailment,379724
A Santa Cruz Fire Dept. engine outside a Gap store.,engine is in a station,contradiction,175464
"A stylish, blond young woman sitting on a bench.",A stylish woman is resting her legs.,entailment,412994
Sailing teams come to the rescue of a boat in need.,A sailing team is helping a boat.,entailment,343137
Dog has mouth open in field.,The dog is outside.,entailment,171782
A limousine in front of a group of people on steps.,A van drives down the street.,contradiction,311817
Hula hoop contest at a wedding reception makes the wedding party happy.,A hula hoop contest made a wedding party mad,contradiction,518407
Manila children playing in spraying water on street while others watch.,filipino kids spray water in the air,entailment,331112
Elderly black woman riding on motorized chair,An old man is playing cards.,contradiction,310198
Wakeboarder getting air off of a wave,A person wakeboarding,entailment,275501
Chef with two women having a conversation.,There is a chef talking about recipies with two people.,neutral,517138
A conclusion of a doubles tennis match on a brown clay court where the two players in black have their arms raised as if in victory.,The players are rivals,neutral,415189
"One African-American male in a white and red T-shirt is using an electric shaver to shave another, seated, African-American male's head.",A barber is finishing up shaving a customer's head for the first time that day.,neutral,426759
Cars drive under a bridge while people walk up above.,the cars are ford,neutral,356345
Girl throws a red bowling ball down the lane at the bowling alley.,Two boys are playing baseball.,contradiction,208937
A watercraft speeds through the water.,The boat is really speeding on land.,contradiction,19453
Protesters gathered in government building protesting air quality in Utah.,children at a birthday party,contradiction,520695
Woman putting orange rose in man's jacket.,Woman putting orange rose in a guys jacket.,neutral,426280
the skateboarder jumps into the air.,A skateboarder jumps in the air to perform a trick.,neutral,178531
An airborne horse bucks off a rider.,Flying horse is scared.,neutral,115640
Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him.,The two people are taking a picture.,neutral,540871
musicians rocking out in the garage,Construction workers rocking out in the garage,contradiction,54783
"Man, who can operate without looking, tosses pizza dough while two others watch.",The man is talented.,entailment,464230
Woman smiling in a bubble bath with only her head visible above the foamy water.,The woman is happy in the tub.,neutral,261395
