id,premise,hypothesis,label
3174,a kid is throwing away an instrument,a young boy is playing a wind instrument,neutral
3181,a man is trekking in the woods,the man is not hiking in the woods,neutral
3222,there is no boy walking across a bridge,a boy is walking across a bridge,contradiction
3250,a woman is placing two eggs into a pot of water,a woman is putting two eggs into a pot of water,entailment
3258,a man is playing the guitar,nobody is playing the guitar,contradiction
3275,a child is running in and out of the waves of the ocean,a child is running in and out of the ocean waves,entailment
3291,a woman is putting away carrots,a woman is coating a pork chop,neutral
3292,a woman is grating carrots,a cook is coating a pork chop,neutral
3322,the woman is chopping some bread and fried pork,a woman is cooking a breaded pork chop,neutral
3338,there is no man standing on a roof top and playing a violin,a man is standing on a roof top and playing a violin,contradiction
3364,a woman is cleaning a shrimp,the woman is cleaning a shrimp,entailment
3373,a woman is riding a water scooter,a woman is riding a scooter for water,entailment
3384,a panda bear is eating some bamboo,some bamboo is being eaten by a panda bear,entailment
3398,someone is beating an egg,the woman isnt stirring eggs in a bowl,neutral
3420,a woman is deboning a fish,a big fish is catching a man,neutral
3433,a tray is being buttered by a person,a person is buttering a tray,entailment
3459,the man is chopping a tree trunk with an axe,a man is chopping a log with an axe,neutral
3485,the cat is looking out the window at the table on the perch,the cat perched on the table is looking out the window,neutral
3501,a dog is licking a baby,the dog is licking the baby,entailment
3505,a woman is putting away the garlic,a woman is chopping up garlic,neutral
3518,the man is not dancing,a woman is dancing,neutral
3536,someone is cooking okra in a pan,okra is being cooked in a pan,entailment
3586,a man is playing the drum,a man is practicing the drum,entailment
3598,one man is doing floor exercises,a man is doing exercises,entailment
3625,a woman is putting meat in a pan,there is no woman putting meat in a pan,contradiction
3626,someone is dropping the meat into a pan,the meat is being dropped into a pan,entailment
3657,a boy is filling a pitcher with water,a pitcher is being filled with water by a boy,entailment
3661,a woman is collecting the water from a tap in a mug,a boy is filling a pitcher with water,neutral
3670,it is raining on a walking man,a man is walking in the rain,entailment
3680,racers are running down a track,there are no racers running down a track,contradiction
3711,a toy train is striking a toy car,a toy train is missing a toy car,contradiction
3721,the person is slicing onions,onions are being sliced by the person,entailment
3733,swimmers are racing in a lake,some racers are swimming in a lake,entailment
3747,a talented man is playing the guitar,a woman is playing a guitar,neutral
3790,a person is scrubbing a zucchini,the person is scrubbing a zucchini,entailment
3812,a woman is slicing a pepper which is green,a woman is slicing a green pepper,entailment
3855,a man is stopping in the middle of a road,a man is walking down a road,neutral
3861,a man from the wilderness is on a walking path,a man is walking down a road,neutral
3862,the man is walking along a path through the wilderness,a man is lazily walking down a road,neutral
3880,a man is dancing on the ceiling of a room,the man is dancing upsidedown on the ceiling,entailment
3897,there is no man exercising,a man is exercising,contradiction
3909,the man is singing and playing the guitar,the guitar is being played by a man,entailment
3910,a man is packing the guitar,the man is singing and playing the guitar,neutral
3922,boys are not dancing in front of some people,boys are dancing in front of some people,contradiction
3941,a boy is looking at a calendar,there is no boy checking a calendar,contradiction
3982,a woman is peeling a potato,a woman is refrigerating a potato,neutral
3996,there is no man singing and playing a guitar,a boy is playing a piano,neutral
4001,a man is recklessly climbing a rope,a man is climbing a rope,entailment
4006,a man is climbing a rope,the man is climbing up a rope,entailment
4011,a man is climbing a rope,a man is climbing up a rope,entailment
4015,the lady is picking up the kangaroo,the woman is picking up the kangaroo,entailment
4031,a man is breaking tiles with his hands,there is no man breaking wooden boards with his hand,neutral
4054,a dog is running breathlessly on the road,a dog is running on the road,entailment
4060,a man is running on the road,a dog is running breathlessly on the road,neutral
4066,the man is hurling knives at a tree,the man is throwing knives at a tree,entailment
4067,the man is removing knives from a tree,the man is throwing knives at a tree,neutral
4079,one man is riding a horse,a man is riding a horse,entailment
4086,there is no man drawing a picture,a man is drawing a picture,contradiction
4114,there is no man eating food,a man is eating a pizza,contradiction
4135,a dog is bouncing on a trampoline,a dog is jumping on a trampoline,entailment
4140,several boys are jumping on a trampoline,a man is doing back flips on a trampoline,neutral
4155,a man is playing a wooden flute,there is no man playing a wooden flute,contradiction
4157,there is no man playing the piano,a man is playing the piano,contradiction
4164,the man is erasing the drawing on the board,the woman is erasing the drawing on the board,neutral
4187,there is no dog playing with a toy,a dog is eating a doll,contradiction
4191,a dog is eating a doll,a dog is playing with a toy,neutral
4196,a man is dancing,a man is praying fervently,neutral
4288,the woman is slicing cooked octopus,a woman is chopping up an octopus,entailment
4321,a man is drawing,there is no man drawing,contradiction
4330,the man is drawing,there is no man drawing,contradiction
4342,a man is eating a banana,a man is eating a fruit,entailment
4360,a man is cutting a note,a man is cutting a paper,entailment
4376,a man is playing a guitar,there is no one playing a piano,neutral
4411,two men in a race are flipping the tires of a tractor,two men are competing in a tire rolling race,neutral
4429,the men are talking,some old women are talking,neutral
4477,a man is punching a soccer ball,a man is mixing the content of a bowl,neutral
4505,the doctors are healing a man,the doctor is helping the patient,entailment
4520,there is no man playing a guitar,a man is playing a guitar,contradiction
4614,there is no man driving a car,a man is driving a car,contradiction
4638,a keyboard is being played by a man,a man is playing a harp,neutral
4650,a man is cutting a thick rope with a sword,there is no man cutting a rope with a sword,contradiction
4661,a woman is slicing a potato,a woman is cutting a potato,entailment
4707,a group of men is playing soccer on the beach,a group of boys is playing soccer on the beach,neutral
4734,a man is fitting a silencer to a pistol,a man is applying a silencer to a gun,entailment
4755,the girl is sitting on the couch and is crocheting,there is no girl playing the violin on a beach,neutral
4767,a man is cooking a snake,there is no man cooking a snake,contradiction
4776,there is no boy playing guitar,a boy is playing guitar,contradiction
4803,there is no monkey teasing a dog at the zoo,a monkey is teasing a dog at the zoo,contradiction
4814,a monkey is pulling a dogs tail,a monkey is teasing a dog at the zoo,neutral
4816,there is no person cutting some ginger,a person is cutting some ginger,contradiction
4823,a person is cutting some ginger,a person is slicing an onion,neutral
4831,a man is slicing a potato into pieces,a man is not cutting a potato,contradiction
4843,a man is opening a box with a knife,there is no man opening a box with a knife,contradiction
4851,some instruments are being played by a band,a band is playing some instruments,entailment
4852,a band is not playing some instruments,a band is playing some instruments,contradiction
4866,a person is dancing,a woman is exercising,neutral
4891,a man is doing pullups,the man is doing exercises in a gym,neutral
4916,a man is singing and playing a guitar,a man is singing and playing a musical instrument,entailment
4934,recruits are talking to an officer,an officer is talking to the recruits,neutral
4963,garlic is being chopped by a woman,a woman is chopping garlic,entailment
4966,a woman is slicing a fish,there is no woman slicing a fish,contradiction
4983,a woman is riding a horse,a horse is being ridden by a woman,entailment
5003,a big cat is opening a plastic drawer with its paws and is jumping inside,a cat is opening a drawer and jumping inside,entailment
5030,the man is talking on the telephone,the man is speaking on the telephone,entailment
5047,a man is cutting onions,a woman is cutting an onion,neutral
5051,a man is opening a door,there is no man opening a door,contradiction
5052,a door is being opened by a man,a man is cutting an onion,neutral
5082,a woman is playing the violin,there is no man playing the piano,neutral
5110,a chef is preparing some food,a chef is preparing a meal,entailment
5113,two sumo ringers are fighting,two sumo wrestlers are fighting,entailment
5119,two sumo ringers are fighting,a man is riding a water toy in the water,neutral
5148,a man is buttering a piece of bread,a woman is buttering a piece of bread,neutral
5203,the woman is putting pasta into a dish,pasta is being put into a dish by a woman,entailment
5206,a woman is pulling some sticky goo out of a bowl,the woman is not putting pasta into a dish,neutral
5310,there is no girl playing a flute,a girl is playing a flute,contradiction
5349,a large flute is being played by a man,a man is playing a flute,entailment
5352,a man is playing a large flute,there is no man playing a flute,contradiction
5374,an octopus is being sliced by a woman,a woman is slicing an octopus,entailment
5454,a man is playing a flute,a man is not playing a flute,contradiction
5461,a woman is playing the flute,a man is playing a flute,neutral
5498,a woman is cutting a lemon,a woman is cutting fruit,entailment
5540,a group of people are dancing in a show,a group of people are marching,neutral
5588,a cupcake is being eaten by a girl,a girl is eating a cupcake,entailment
5657,a person is eating in a restaurant,a person is making a bed,neutral
5698,the cook is sprinkling cheese on the pizza,the man is sprinkling cheese on the pizza,neutral
5706,a man is reloading a shotgun,a man is firing a shotgun,neutral
5745,a tiger cub is playing with a ball,a baby is playing with a doll,neutral
5747,a baby is playing with a toy,a baby tiger is playing with a ball,neutral
5799,a person is peeling a potato,a potato is being peeled by a person,entailment
5806,a man is rowing a canoe,a man is rowing a boat,entailment
5904,a man and a woman are driving down the street in a jeep,a man and a woman are driving down the road in an openair vehicle,neutral
5909,a woman is pouring ingredients into a bowl,the chef is seasoning the oil,neutral
5914,a horse is being ridden by a person,a person is riding a horse,entailment
5920,a horse is being ridden by a person,a woman is slicing potatoes,neutral
5924,the man is not doing exercises,the man is doing exercises,contradiction
5930,the man is not doing exercises,two men are fighting,neutral
5938,vegetables are being put into a pot by a man,someone is pouring ingredients into a pot,entailment
5955,a dog is leaving a ball in the dirt,a dog is chasing a ball through dirt,neutral
6001,there is no brown dog standing in the water,a dog with golden fur is in the water,neutral
6005,a young girl in a blue shirt is walking on the sidewalk and holding up a pink sign,a young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk,neutral
6042,the small child is walking through the water and is being guided by another person,a young child is splashing in the water,neutral
6047,a man and a woman are in a room painted beige wearing dark colored shirts and a monitor is in the background,a man and a woman are in a beige room wearing dark colored shirts and a monitor is in the background,entailment
6078,a person wearing jeans is sitting happily on the top of a horse saddle,a woman in jeans is sitting on the saddle of a horse,neutral
6119,a brown and white dog is holding a baseball in its mouth,a black and white dog is dropping a baseball from its mouth,neutral
6131,a young boy wearing a red swimsuit is jumping into a blue kiddies pool,a boy wearing red shorts is jumping into a paddling pool,neutral
6146,two people are standing in the ocean and watching the sunset,nobody is standing in the ocean and watching the sunset,contradiction
6153,a race car driver is standing up and pointing his hand at the sky,a race car driver is sitting down and is motionless,neutral
6158,a race car driver is standing up and is fiercely pointing his hand at the sky,the person in the blue jacket is wearing a colorful helmet,neutral
6203,a bicyclist is holding a bike over his head in a group of people,a cyclist is being held over the heads of a group of people with the bike,neutral
6213,a man is sitting on a boat in font of the sunset near a flag,a man is standing on a boat in front of the sunset near a flag,neutral
6219,a man is standing on a boat in front of the sunset near a flag,a man is on a boat in front of the sunset,entailment
6228,people at a drag race are running away from the flames that are coming out of the cars,the crowd is watching two racing cars that are leaving the starting line,neutral
6231,two dogs are playing together on the grass,two dogs are resting together in the grass,neutral
6280,a dog which is black is running in the grass,a black dog is running in the grass,entailment
6287,a black dog is running in the grass and its tongue is hanging out,a black dog is running in the grass,entailment
6315,a yellow dog is running on white snow on a very sunny day,a yellow dog is running on white snow on a sunny day,entailment
6330,a girl is wearing jeans and a pink shirt and is running,a little boy in a pink shirt is running under a tree in the desert,neutral
6344,a white dog is wearing a christmas reindeer headband and is playing with a brown dog in the grass,the white reindeer wearing dog ears is near a brown reindeer,neutral
6358,the woman in a red costume is leaning against a brick wall and playing an instrument,the woman in a red costume is not leaning against a brick wall and is not playing an instrument,contradiction
6394,a waterfall is flowing into a shallow pool,the people are walking on the road beside a beautiful waterfall,neutral
6396,a dog is scattering a pack of white sheep on a dusty farm,a dog is herding a pack of white sheep on a dusty farm,neutral
6450,a little boy is wearing a yellow tank top and is laughing,a laughing boy is in a yellow tank and is wearing a top,neutral
6482,the person is not standing on white ice,a person is standing in a vast field of glacial ice,neutral
6544,the ice hockey goalkeeper is wearing a yellow jersey and is defending the goal,there is no hockey player in a yellow jersey guarding the goal,contradiction
6568,a woman is wearing a blue helmet and is riding a bicycle in a parking lot,a woman is parking a blue bicycle and is wearing lots of riding helmets,neutral
6590,a young girl is standing on one leg,a young female is dancing,neutral
6592,a young girl is standing on one leg,a young girl is dancing,neutral
6598,a bee is clinging to a yellow flower,there is no small bee landing on a bunch of yellow flowers,neutral
6625,there is no white dog with beige spots running through a field,a tan dog is running through the brush,neutral
6634,a hurdle is being leapt by a horse that has a rider on its back,a horse and its rider are leaping over a barrier,entailment
6649,two teenage girls are wearing fancy dresses at an event,two girls in their teens are wearing fancy dresses at an event,entailment
6673,a classroom full of students is looking attentively in the same direction inside a bamboo structure,a group of students in uniforms is listening attentively at the front of the class,neutral
6705,a child who is small is outdoors climbing steps outdoors in an area full of grass,a small child is outdoors climbing steps in a grassy area,entailment
6709,a little child in a pink sweater is climbing a concrete staircase,a small child is outdoors climbing steps in a grassy area,neutral
6729,a kid in orange is playing outside with a snowball,a snow ball is being made by a child,neutral
6740,the people are not sitting on a bench in front of a restaurant,three people are sitting on a bench under some palm trees,neutral
6756,a large brown dog and a small grey dog are standing on a rocky surface,a big brown dog and a small grey dog are standing on a rocky surface,entailment
6764,three boys are resting on rocks along a river,three boys are walking on rocks along a river,neutral
6784,there is no man dressed in black wearing an elaborate black mask,a man dressed in black is wearing an elaborate black mask,contradiction
6849,two children who are small are playing with a toy car in the street,a father is pushing his daughter on a gokart and another girl is watching,neutral
6866,a golden dog is running through a field of tall grass,there is no brown dog running through tall green grass,neutral
6912,the woman wearing the blue and white uniform with a white and blue hat is keeping her mouth open and is near others who are dressed in the same fashion,a woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,neutral
6932,the snowboarder is doing a flip over a mound of snow,somebody is jumping in the air on a board,entailment
6955,a blonde boy in green is sitting on a swing,there is no little girl with blond hair smiling and sitting on a swing,neutral
6961,a white man is staging a hat and a playing guitar,a man in a white hat is playing guitar on stage,neutral
6971,there is no man in a red uniform making a jump in a dirt bike race,a man in a red uniform is making a jump in a dirt bike race,contradiction
7002,rugby players are not tackling each other,a soccer player is being tackled by his opponent,neutral
7007,a white dog is standing on fallen leaves,a white dog is lying on fallen leaves,neutral
7018,a child in clothing which is light colored is standing with his arms extended outward,a child in light colored clothing is standing with his arms extended outward,entailment
7027,the boy and girl are not playing on a playground,the boy and girl are playing on the outdoor gym,neutral
7043,the motocross rider is standing naked,a biker with a blue jacket black pants and a white helmet is driving on dirt and people are watching,neutral
7044,the rider on the blue and black motocross bike is not wearing the pants,a biker with a blue jacket black pants and a white helmet is driving on dirt and people are watching,neutral
7064,a trick is being performed by a rollerblader on a ramp,a rollerblader is performing a trick on a ramp,entailment
7088,a group of football players is standing still in the field,the crowd is watching a football game,neutral
7093,the group of people is standing together and looking at the camera,a group of people is standing together and looking at the camera,entailment
7214,a brown dog is running across the yard with a toy in its mouth,there is no brown dog running across the yard with a toy in its mouth,contradiction
7228,there is no young boy jumping in the air with his knees bent and arms spread,a person with a green shirt is jumping high over the grass,neutral
7311,a cigarette is being smoked by the man in the straw hat,a man is wearing a straw hat and smoking a cigarette,entailment
7319,a man is wearing a blue shirt which has long sleeves and jeans and is riding a unicycle down a street,a man is wearing a blue checkered shirt and riding a unicycle in the street,neutral
7356,small children are climbing a statue in a park,two children are playing on a statue,neutral
7363,a tower is being looked at by a blonde lady,a woman is looking at the view of a city,neutral
7374,a man is standing on the top of the rocks with clouds behind them,somebody is standing on a mountain top,neutral
7394,a child is smiling at the camera and swimming underwater,a child is swimming underwater in a pool,neutral
7410,an american footballer is wearing the red and white strip,a football player is wearing black armbands,neutral
7445,the little girl is swinging and the woman is standing behind her,the girl who is little is swinging and the woman is standing behind,entailment
7448,a small child is showing excitement on a swing set at the park,the girl who is little is swinging and the woman is standing behind,neutral
7464,a surfer is riding the wave,a man is falling off a surfboard in the water,neutral
7466,the group of people is sitting in a dim room,the group of people is sitting in a room which is dim,entailment
7471,a man and two women in a dark room are sitting at a table with candles,the group of people is sitting in a dim room,entailment
7475,a man and two women in a darkened room are sitting at a table with candles,the group of dim people is sitting in a room,neutral
7477,a man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four bottles of beer,a man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles,entailment
7501,the woman is not wearing a red jacket and is not holding a glass in front of the man in a white tshirt,a person is wearing a red jacket and holding a beer,neutral
7533,a child is watching someone playing outdoors and is spouting water over the rest of his family,a boy is holding a hose next to a man and another boy is watching,neutral
7541,there is no football player in a purple jersey running with the ball for a touchdown,a football player is running past an official carrying a football,neutral
