id,premise,hypothesis,label
2968,A large green ball is missing a potato.,A large green ball is hitting a potato.,neutral
2972,A large green ball is hitting a potato.,A big green ball is missing a potato.,contradiction
2996,A man is playing a guitar.,A man is laying down a guitar.,neutral
3002,A woman is playing an electric guitar.,A man is laying down a guitar.,neutral
3036,The puppy is not playing with a plastic container.,The puppy is playing with a plastic container.,contradiction
3061,A woman is driving a car and is talking to the man who is seated beside her.,There is no woman driving a car and talking to the man seated beside her.,contradiction
3107,A man is flooring a sitting guitar player.,A man is sitting on the floor in a room and strumming a guitar.,neutral
3122,A woman is using a pencil for eyes and is applying eye liner to her eyelid.,A woman is applying cosmetics to her eyelid.,entailment
3123,There is no woman using an eye pencil and applying eye liner to her eyelid.,A woman is applying cosmetics to her eyelid.,contradiction
3143,A monkey is kicking at a person's glove.,The monkey is practicing martial arts.,neutral
3174,A kid is throwing away an instrument.,A young boy is playing a wind instrument.,neutral
3181,A man is trekking in the woods.,The man is not hiking in the woods.,neutral
3222,There is no boy walking across a bridge.,A boy is walking across a bridge.,contradiction
3250,A woman is placing two eggs into a pot of water.,A woman is putting two eggs into a pot of water.,entailment
3258,A man is playing the guitar.,Nobody is playing the guitar.,contradiction
3275,A child is running in and out of the waves of the ocean.,A child is running in and out of the ocean waves.,entailment
3291,A woman is putting away carrots.,A woman is coating a pork chop.,neutral
3292,A woman is grating carrots.,A cook is coating a pork chop.,neutral
3322,The woman is chopping some bread and fried pork.,A woman is cooking a breaded pork chop.,neutral
3338,There is no man standing on a roof top and playing a violin.,A man is standing on a roof top and playing a violin.,contradiction
3364,A woman is cleaning a shrimp.,The woman is cleaning a shrimp.,entailment
3373,A woman is riding a water scooter.,A woman is riding a scooter for water.,entailment
3384,A panda bear is eating some bamboo.,Some bamboo is being eaten by a panda bear.,entailment
3398,Someone is beating an egg.,The woman isn't stirring eggs in a bowl.,neutral
3420,A woman is deboning a fish.,A big fish is catching a man.,neutral
3433,A tray is being buttered by a person.,A person is buttering a tray.,entailment
3459,The man is chopping a tree trunk with an axe.,A man is chopping a log with an axe.,neutral
3485,The cat is looking out the window at the table on the perch.,The cat perched on the table is looking out the window.,neutral
3501,A dog is licking a baby.,The dog is licking the baby.,entailment
3505,A woman is putting away the garlic.,A woman is chopping up garlic.,neutral
3518,The man is not dancing.,A woman is dancing.,neutral
3536,Someone is cooking okra in a pan.,Okra is being cooked in a pan.,entailment
3586,A man is playing the drum.,A man is practicing the drum.,entailment
3598,One man is doing floor exercises.,A man is doing exercises.,entailment
3625,A woman is putting meat in a pan.,There is no woman putting meat in a pan.,contradiction
3626,Someone is dropping the meat into a pan.,The meat is being dropped into a pan.,entailment
3657,A boy is filling a pitcher with water.,A pitcher is being filled with water by a boy.,entailment
3661,A woman is collecting the water from a tap in a mug.,A boy is filling a pitcher with water.,neutral
3670,It is raining on a walking man.,A man is walking in the rain.,entailment
3680,Racers are running down a track.,There are no racers running down a track.,contradiction
3711,A toy train is striking a toy car.,A toy train is missing a toy car.,contradiction
3721,The person is slicing onions.,Onions are being sliced by the person.,entailment
3733,Swimmers are racing in a lake.,Some racers are swimming in a lake.,entailment
3747,A talented man is playing the guitar.,A woman is playing a guitar.,neutral
3790,A person is scrubbing a zucchini.,The person is scrubbing a zucchini.,entailment
3812,A woman is slicing a pepper which is green.,A woman is slicing a green pepper.,entailment
3855,A man is stopping in the middle of a road.,A man is walking down a road.,neutral
3861,A man from the wilderness is on a walking path.,A man is walking down a road.,neutral
3862,The man is walking along a path through the wilderness.,A man is lazily walking down a road.,neutral
3880,A man is dancing on the ceiling of a room.,The man is dancing upside-down on the ceiling.,entailment
3897,There is no man exercising.,A man is exercising.,contradiction
3909,The man is singing and playing the guitar.,The guitar is being played by a man.,entailment
3910,A man is packing the guitar.,The man is singing and playing the guitar.,neutral
3922,Boys are not dancing in front of some people.,Boys are dancing in front of some people.,contradiction
3941,A boy is looking at a calendar.,There is no boy checking a calendar.,contradiction
3982,A woman is peeling a potato.,A woman is refrigerating a potato.,neutral
3996,There is no man singing and playing a guitar.,A boy is playing a piano.,neutral
4001,A man is recklessly climbing a rope.,A man is climbing a rope.,entailment
4006,A man is climbing a rope.,The man is climbing up a rope.,entailment
4011,A man is climbing a rope.,A man is climbing up a rope.,entailment
4015,The lady is picking up the kangaroo.,The woman is picking up the kangaroo.,entailment
4031,A man is breaking tiles with his hands.,There is no man breaking wooden boards with his hand.,neutral
4054,A dog is running breathlessly on the road.,A dog is running on the road.,entailment
4060,A man is running on the road.,A dog is running breathlessly on the road.,neutral
4066,The man is hurling knives at a tree.,The man is throwing knives at a tree.,entailment
4067,The man is removing knives from a tree.,The man is throwing knives at a tree.,neutral
4079,One man is riding a horse.,A man is riding a horse.,entailment
4086,There is no man drawing a picture.,A man is drawing a picture.,contradiction
4114,There is no man eating food.,A man is eating a pizza.,contradiction
4135,A dog is bouncing on a trampoline.,A dog is jumping on a trampoline.,entailment
4140,Several boys are jumping on a trampoline.,A man is doing back flips on a trampoline.,neutral
4155,A man is playing a wooden flute.,There is no man playing a wooden flute.,contradiction
4157,There is no man playing the piano.,A man is playing the piano.,contradiction
4164,The man is erasing the drawing on the board.,The woman is erasing the drawing on the board.,neutral
4187,There is no dog playing with a toy.,A dog is eating a doll.,contradiction
4191,A dog is eating a doll.,A dog is playing with a toy.,neutral
4196,A man is dancing.,A man is praying fervently.,neutral
4288,The woman is slicing cooked octopus.,A woman is chopping up an octopus.,entailment
4321,A man is drawing.,There is no man drawing.,contradiction
4330,The man is drawing.,There is no man drawing.,contradiction
4342,A man is eating a banana.,A man is eating a fruit.,entailment
4360,A man is cutting a note.,A man is cutting a paper.,entailment
4376,A man is playing a guitar.,There is no one playing a piano.,neutral
4411,Two men in a race are flipping the tires of a tractor.,Two men are competing in a tire rolling race.,neutral
4429,The men are talking.,Some old women are talking.,neutral
4477,A man is punching a soccer ball.,A man is mixing the content of a bowl.,neutral
4505,The doctors are healing a man.,The doctor is helping the patient.,entailment
4520,There is no man playing a guitar.,A man is playing a guitar.,contradiction
4614,There is no man driving a car.,A man is driving a car.,contradiction
4638,A keyboard is being played by a man.,A man is playing a harp.,neutral
4650,A man is cutting a thick rope with a sword.,There is no man cutting a rope with a sword.,contradiction
4661,A woman is slicing a potato.,A woman is cutting a potato.,entailment
4707,A group of men is playing soccer on the beach.,A group of boys is playing soccer on the beach.,neutral
4734,A man is fitting a silencer to a pistol.,A man is applying a silencer to a gun.,entailment
4755,The girl is sitting on the couch and is crocheting.,There is no girl playing the violin on a beach.,neutral
4767,A man is cooking a snake.,There is no man cooking a snake.,contradiction
4776,There is no boy playing guitar.,A boy is playing guitar.,contradiction
4803,There is no monkey teasing a dog at the zoo.,A monkey is teasing a dog at the zoo.,contradiction
4814,A monkey is pulling a dog's tail.,A monkey is teasing a dog at the zoo.,neutral
4816,There is no person cutting some ginger.,A person is cutting some ginger.,contradiction
4823,A person is cutting some ginger.,A person is slicing an onion.,neutral
4831,A man is slicing a potato into pieces.,A man is not cutting a potato.,contradiction
4843,A man is opening a box with a knife.,There is no man opening a box with a knife.,contradiction
4851,Some instruments are being played by a band.,A band is playing some instruments.,entailment
4852,A band is not playing some instruments.,A band is playing some instruments.,contradiction
4866,A person is dancing.,A woman is exercising.,neutral
4891,A man is doing pull-ups.,The man is doing exercises in a gym.,neutral
4916,A man is singing and playing a guitar.,A man is singing and playing a musical instrument.,entailment
4934,Recruits are talking to an officer.,An officer is talking to the recruits.,neutral
4963,Garlic is being chopped by a woman.,A woman is chopping garlic.,entailment
4966,A woman is slicing a fish.,There is no woman slicing a fish.,contradiction
4983,A woman is riding a horse.,A horse is being ridden by a woman.,entailment
5003,A big cat is opening a plastic drawer with its paws and is jumping inside.,A cat is opening a drawer and jumping inside.,entailment
5030,The man is talking on the telephone.,The man is speaking on the telephone.,entailment
5047,A man is cutting onions.,A woman is cutting an onion.,neutral
5051,A man is opening a door.,There is no man opening a door.,contradiction
5052,A door is being opened by a man.,A man is cutting an onion.,neutral
5082,A woman is playing the violin.,There is no man playing the piano.,neutral
5110,A chef is preparing some food.,A chef is preparing a meal.,entailment
5113,Two sumo ringers are fighting.,Two sumo wrestlers are fighting.,entailment
5119,Two sumo ringers are fighting.,A man is riding a water toy in the water.,neutral
5148,A man is buttering a piece of bread.,A woman is buttering a piece of bread.,neutral
5203,The woman is putting pasta into a dish.,Pasta is being put into a dish by a woman.,entailment
5206,A woman is pulling some sticky goo out of a bowl.,The woman is not putting pasta into a dish.,neutral
5310,There is no girl playing a flute.,A girl is playing a flute.,contradiction
5349,A large flute is being played by a man.,A man is playing a flute.,entailment
5352,A man is playing a large flute.,There is no man playing a flute.,contradiction
5374,An octopus is being sliced by a woman.,A woman is slicing an octopus.,entailment
5454,A man is playing a flute.,A man is not playing a flute.,contradiction
5461,A woman is playing the flute.,A man is playing a flute.,neutral
5498,A woman is cutting a lemon.,A woman is cutting fruit.,entailment
5540,A group of people are dancing in a show.,A group of people are marching.,neutral
5588,A cupcake is being eaten by a girl.,A girl is eating a cupcake.,entailment
5657,A person is eating in a restaurant.,A person is making a bed.,neutral
5698,The cook is sprinkling cheese on the pizza.,The man is sprinkling cheese on the pizza.,neutral
5706,A man is reloading a shotgun.,A man is firing a shotgun.,neutral
5745,A tiger cub is playing with a ball.,A baby is playing with a doll.,neutral
5747,A baby is playing with a toy.,A baby tiger is playing with a ball.,neutral
5799,A person is peeling a potato.,A potato is being peeled by a person.,entailment
5806,A man is rowing a canoe.,A man is rowing a boat.,entailment
5904,A man and a woman are driving down the street in a jeep.,A man and a woman are driving down the road in an open-air vehicle.,neutral
5909,A woman is pouring ingredients into a bowl.,The chef is seasoning the oil.,neutral
5914,A horse is being ridden by a person.,A person is riding a horse.,entailment
5920,A horse is being ridden by a person.,A woman is slicing potatoes.,neutral
5924,The man is not doing exercises.,The man is doing exercises.,contradiction
5930,The man is not doing exercises.,Two men are fighting.,neutral
5938,Vegetables are being put into a pot by a man.,Someone is pouring ingredients into a pot.,entailment
5955,A dog is leaving a ball in the dirt.,A dog is chasing a ball through dirt.,neutral
6001,There is no brown dog standing in the water.,A dog with golden fur is in the water.,neutral
6005,A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign.,A young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk.,neutral
6042,The small child is walking through the water and is being guided by another person.,A young child is splashing in the water.,neutral
6047,"A man and a woman are in a room painted beige, wearing dark colored shirts and a monitor is in the background.","A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background.",entailment
6078,A person wearing jeans is sitting happily on the top of a horse saddle.,A woman in jeans is sitting on the saddle of a horse.,neutral
6119,A brown and white dog is holding a baseball in its mouth.,A black and white dog is dropping a baseball from its mouth.,neutral
6131,A young boy wearing a red swimsuit is jumping into a blue kiddies pool.,A boy wearing red shorts is jumping into a paddling pool.,neutral
6146,Two people are standing in the ocean and watching the sunset.,Nobody is standing in the ocean and watching the sunset.,contradiction
6153,A race car driver is standing up and pointing his hand at the sky.,A race car driver is sitting down and is motionless.,neutral
6158,A race car driver is standing up and is fiercely pointing his hand at the sky.,The person in the blue jacket is wearing a colorful helmet.,neutral
6203,A bicyclist is holding a bike over his head in a group of people.,A cyclist is being held over the heads of a group of people with the bike.,neutral
6213,"A man is sitting on a boat in font of the sunset, near a flag.",A man is standing on a boat in front of the sunset near a flag.,neutral
6219,A man is standing on a boat in front of the sunset near a flag.,A man is on a boat in front of the sunset.,entailment
6228,People at a drag race are running away from the flames that are coming out of the cars.,The crowd is watching two racing cars that are leaving the starting line.,neutral
6231,Two dogs are playing together on the grass.,Two dogs are resting together in the grass.,neutral
6280,"A dog, which is black, is running in the grass.",A black dog is running in the grass.,entailment
6287,A black dog is running in the grass and its tongue is hanging out.,A black dog is running in the grass.,entailment
6315,A yellow dog is running on white snow on a very sunny day.,A yellow dog is running on white snow on a sunny day.,entailment
6330,A girl is wearing jeans and a pink shirt and is running.,A little boy in a pink shirt is running under a tree in the desert.,neutral
6344,A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass.,The white reindeer wearing dog ears is near a brown reindeer.,neutral
6358,The woman in a red costume is leaning against a brick wall and playing an instrument.,The woman in a red costume is not leaning against a brick wall and is not playing an instrument.,contradiction
6394,A waterfall is flowing into a shallow pool.,The people are walking on the road beside a beautiful waterfall.,neutral
6396,A dog is scattering a pack of white sheep on a dusty farm.,A dog is herding a pack of white sheep on a dusty farm.,neutral
6450,A little boy is wearing a yellow tank top and is laughing.,A laughing boy is in a yellow tank and is wearing a top.,neutral
6482,The person is not standing on white ice.,A person is standing in a vast field of glacial ice.,neutral
6544,The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal.,There is no hockey player in a yellow jersey guarding the goal.,contradiction
6568,A woman is wearing a blue helmet and is riding a bicycle in a parking lot.,A woman is parking a blue bicycle and is wearing lots of riding helmets.,neutral
6590,A young girl is standing on one leg.,A young female is dancing.,neutral
6592,A young girl is standing on one leg.,A young girl is dancing.,neutral
6598,A bee is clinging to a yellow flower.,There is no small bee landing on a bunch of yellow flowers.,neutral
6625,There is no white dog with beige spots running through a field.,A tan dog is running through the brush.,neutral
6634,A hurdle is being leapt by a horse that has a rider on its back.,A horse and its rider are leaping over a barrier.,entailment
6649,Two teenage girls are wearing fancy dresses at an event.,Two girls in their teens are wearing fancy dresses at an event.,entailment
6673,A classroom full of students is looking attentively in the same direction inside a bamboo structure.,A group of students in uniforms is listening attentively at the front of the class.,neutral
6705,"A child, who is small, is outdoors climbing steps outdoors in an area full of grass.",A small child is outdoors climbing steps in a grassy area.,entailment
6709,A little child in a pink sweater is climbing a concrete staircase.,A small child is outdoors climbing steps in a grassy area.,neutral
6729,A kid in orange is playing outside with a snowball.,A snow ball is being made by a child.,neutral
6740,The people are not sitting on a bench in front of a restaurant.,Three people are sitting on a bench under some palm trees.,neutral
6756,A large brown dog and a small grey dog are standing on a rocky surface.,A big brown dog and a small grey dog are standing on a rocky surface.,entailment
6764,Three boys are resting on rocks along a river.,Three boys are walking on rocks along a river.,neutral
6784,There is no man dressed in black wearing an elaborate black mask.,A man dressed in black is wearing an elaborate black mask.,contradiction
6849,"Two children, who are small, are playing with a toy car in the street.",A father is pushing his daughter on a go-kart and another girl is watching.,neutral
6866,A golden dog is running through a field of tall grass.,There is no brown dog running through tall green grass.,neutral
6912,The woman wearing the blue and white uniform with a white and blue hat is keeping her mouth open and is near others who are dressed in the same fashion.,A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching.,neutral
6932,The snowboarder is doing a flip over a mound of snow.,Somebody is jumping in the air on a board.,entailment
6955,A blonde boy in green is sitting on a swing.,There is no little girl with blond hair smiling and sitting on a swing.,neutral
6961,A white man is staging a hat and a playing guitar.,A man in a white hat is playing guitar on stage.,neutral
6971,There is no man in a red uniform making a jump in a dirt bike race.,A man in a red uniform is making a jump in a dirt bike race.,contradiction
7002,Rugby players are not tackling each other.,A soccer player is being tackled by his opponent.,neutral
7007,A white dog is standing on fallen leaves.,A white dog is lying on fallen leaves.,neutral
7018,A child in clothing which is light colored is standing with his arms extended outward.,A child in light colored clothing is standing with his arms extended outward.,entailment
7027,The boy and girl are not playing on a playground.,The boy and girl are playing on the outdoor gym.,neutral
7043,The motocross rider is standing naked.,"A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching.",neutral
7044,The rider on the blue and black motocross bike is not wearing the pants.,"A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching.",neutral
7064,A trick is being performed by a rollerblader on a ramp.,A rollerblader is performing a trick on a ramp.,entailment
7088,A group of football players is standing still in the field.,The crowd is watching a football game.,neutral
7093,The group of people is standing together and looking at the camera.,A group of people is standing together and looking at the camera.,entailment
7214,A brown dog is running across the yard with a toy in its mouth.,There is no brown dog running across the yard with a toy in its mouth.,contradiction
