premise,hypothesis,label,o_index
a large white domestic dog is jumping in the air over an country covered by snowfall,a large white domestic dog is jumping up in the snowfall,entailment,139
a brown duck with a green head is flapping its wings in the water,a bird is flapping its wings on the water,entailment,140
the adult male is intensely playing the guitar,the intense adult male is a guitar participant,neutral,141
a adult female is cutting onions,there is no adult female cutting onions,contradiction,142
a man is painting a womans face,the woman is putting makeup on the man,neutral,143
two toddlers are sleeping in a waggon which is really small,two toddlers are eating corndogs in a waggon which is really small,neutral,144
a adult female is leaning on the shelf of a balcony,a adult male is leaning on the shelf of a balcony,neutral,145
one true cat is playing with a watermelon vine,the true cat is playing with a watermelon vine,entailment,146
a girl is tapping her fingernails,a male child is tapping his fingernails,neutral,147
a fish is being cut by a adult male,a adult male is cutting a fish,entailment,148
a adult female is using an optic pencil and is applying optic line drive to her lid,a adult female is applying cosmetics to her lid,entailment,149
a male child is jumping off the side of a rock water fountain in front of a building,a male child in a striped shirt is playing in front of a water fountain,neutral,150
there is no adult male mixing,a adult male is mowing a lawn,neutral,151
a bicyclist is performing a trick over a heavily graphitized wall,a bicyclist is performing a trick over wall full of graffiti,entailment,152
a adult female is not slicing an octopus,a adult male is playing the guitar,neutral,153
a male child is sitting in a place,a tot is sitting down,neutral,154
a man is working on the computer,the man is feeding the snake with a mouse,neutral,155
the domestic dog is having a residue in the parkland,the domestic dog is having a residue in the living room,contradiction,156
a domestic dog is looking around,there is no domestic dog looking around,contradiction,157
people in costumes are sitting in the street,people in costumes are walking around in the street,neutral,158
the male child is playing in the clay,the male child isnt playing in the clay,contradiction,159
a domestic dog is turning on the grass and pursuing a flying lawn tennis ball,a domestic dog is turning on the grass and pursuing a flying ball,entailment,160
someone is scratching the venter of an fauna,someone is scratching the back of an fauna,neutral,161
the mortal in the blue jacket is wearing a colorful helmet,a mortal in a blue jacket is wearing a colorful helmet,entailment,162
a football game participant in a purple jersey is running with the ball for a touchdown,there is no football game participant in a purple jersey running with the ball for a touchdown,contradiction,163
a group of people is walking down the street and a mortal in a green hat is on the telephone,four people are walking along a metropolis pavement and the one in the green hat is not talking on a cell telephone,neutral,164
two boys are doing martial humanities on a green mat,two boys are doing martial humanities on a blue mat,neutral,165
swimmers are racing in a lake,some racers are swimming in a lake,entailment,166
the bike race driver is riding a red and black motorcycle,no bike race driver is riding a red and black motorcycle,contradiction,167
a grey domestic dog is jumping toward a black and white domestic dog in the soft snowfall,two poodles are in the snowfall and one is jumping high,neutral,168
the adult male in blue is posing for a icon next to a car,the adult female in blue is posing for a icon next to a car,neutral,169
a adult male is playing the guitar,a adult female is putting on lip rouge,neutral,170
a adult female is taking two eggs out of a pot of water,a adult male is playing a trump,neutral,171
a adult male is carelessly holding a toad,a adult male is carelessly dropping a toad,neutral,172
someone is putting ingredients into a wok,someone is not putting ingredients into a wok,contradiction,173
two dogs are jumping through snowy grass and rocks,two large dogs a visible light colored one and a dark one are running through snowy terrain,neutral,174
the water ice skating skating rink placed outdoors is full of people,an water ice skating skating rink placed outdoors is full of people,entailment,175
a mortal is slicing allium sativum into pieces with a knife,someone is putting ingredients into a wok,neutral,176
a bird is resting its wings in the water,a bird is flapping its wings on the water,neutral,177
a large duck is flying over a rocky watercourse,a large duck is perching over a rocky watercourse,neutral,178
the brown horse is very near a red gun barrel at the rodeo,the brown horse is near a red gun barrel at the rodeo,entailment,179
a little male child in red dress is jumping into the air,there is no kid in a red outfit jumping on a trampoline,neutral,180
a mortal is performing a card fast one,a mortal is doing a fast one with some card game,entailment,181
two dogs are resting on the beach,two white dogs are running and jumping along a beach,neutral,182
a horse is being ridden in a brook by a adult male,a adult male is riding a horse,entailment,183
the adult male is denying an interview,a white car is being driven by the adult male,neutral,184
a transverse flute is being played in a lovely way by a girl,a transverse flute is being played by a girl,entailment,185
a adult male and two women in a darkened room are sitting at a table with candles,a adult male is abruptly falling off a horse on a path laid in the natural state,neutral,186
the brown domestic dog is running in the snowfall,a domestic dog is running through the snowfall,entailment,187
a adult male and two women in a darkened room are sitting at a table with candles,the group of people is not sitting in a dim room,contradiction,188
a adult male is cutting a rope with a sword,a adult male is tying a thick rope,neutral,189
a woman is wakeboarding on a lake,the woman is not waterskiing,contradiction,190
the group of people is sitting on a shelf which is rocky and a scenic view is behind them,the group of people is sitting on a rocky shelf and a scenic view is behind them,entailment,191
a domestic dog with a blue neckband is playing with the ball in the garden,a grey domestic dog is bouncing a association football ball on its head in a grass field,neutral,192
a little male child is jumping into a puddle on the street,a young kid is wearing boots made of green india rubber and playing in a puddle full of clay,neutral,193
the adult female in a red costume is leaning against a brick wall and playing an instrument,the adult female in a red costume is not leaning against a brick wall and is not playing an instrument,contradiction,194
a adult female is slicing potatoes,a mortal is riding a horse,neutral,195
there is no large domestic dog running on the grass with a lawn tennis ball in its mouth,a large domestic dog is running on the grass with a lawn tennis ball in its mouth,contradiction,196
a adult male is untying a shoe,a adult male is tying a shoe,neutral,197
a group of five young adults are lounging in the room,a small group of people are standing and two are sitting on the sofa,neutral,198
a adult male is sharpening a arm,a adult male is carrying a adult female,neutral,199
a domestic dog with really long hair and a red waistcoat is running in the grass,a domestic dog with long hair and a red waistcoat is running in the grass,entailment,200
the adult female is eating some cut pieces of raw meat,some meat is being cut into pieces by a adult female,neutral,201
a adult female is putting on eyeshadow,the adult female is putting make-up on,entailment,202
a nude lady is walking in front of a crowd in organic structure paint,a nude crowd in organic structure paint is walking in front of a lady,neutral,203
a boy is checking a calendar,a boy is throwing away a calendar,neutral,204
a group of child is staring at a colorful construction,four eye eastern child three girls and one male child are climbing on the grot with a pink inside,neutral,205
the people are sitting aimlessly on a bench in front of a restaurant,the people are sitting on a bench in front of a restaurant,entailment,206
a infant is talking,the kid is silent,neutral,207
the back of a small black domestic dog is being sniffed by the brown domestic dog,a large brown domestic dog and a small grey domestic dog are standing on a rocky surface,neutral,208
two dogs are running through the beach,two dogs are running through the parkland,neutral,209
a domestic dog which has a brown and white coat is holding a baseball game in its mouth,a black and white domestic dog is holding a baseball game in its mouth,neutral,210
there is no man doing a card trick,a man is playing with water,neutral,211
an asian adult female in a crowd is not carrying a black bag,an asian adult female in a crowd is carrying a black bag,neutral,212
a group of people is gathering at a base at the carnival,the people are running at a carnival,neutral,213
the lady is holding the paintbrush next to the artists easel,the girl in the blue coverall is painting,neutral,214
a man in blue is riding a horse on a dirt road,a woman in blue is riding a horse on a dirt road,neutral,215
the adult male is pouring some oil on the tomatoes,a adult male isnt pouring oil on the tomatoes,contradiction,216
a adult female is staging a dance,a adult female is dancing and a adult male is playing the keyboard,neutral,217
many people are skating in an ice park,a lot of people are in an ice skating park,neutral,218
someone is taking the okra out of a pot,someone is boiling okra in a pot,neutral,219
the mortal is not writing with a pencil,a mortal is writing,neutral,220
two people are in the snowfall wearing dress that provide disguise,some people are in the snowfall wearing dress that provide disguise,entailment,221
a man is playing a guitar,there is no one playing a piano,neutral,222
a adult female is looking curiously at a adult male,a adult male and a adult female are in a beige room wearing dark colored shirts and a proctor is in the background,neutral,223
a white adult female is standing on a adult female dressed in blue on a phase,two teenage girls are wearing fancy dresses at an event,neutral,224
the kid is splashing water in a big red pool,a tot is making a plash inside a blue paddling pool,neutral,225
a adult male is slicing a red tomato,a adult female is slicing a tomato,neutral,226
a woman is riding a horse,a man is opening a package that contains headphones,neutral,227
two men are fighting in a cows pen,two men are outside a cows pen,neutral,228
a adult male is crouching down next to a domestic dog and is smiling at a little girl sitting on the pavement,a adult female is showing a small domestic dog to an baby,neutral,229
a guinea hog which is small is gnawing and eating a piece of carrot on the floor,a small guinea hog is gnawing and eating a piece of carrot on the floor,entailment,230
the men are not putting suitcases into the trunk of a car,the men are packing suitcases into the trunk of a car,contradiction,231
a mortal is boiling noodles,there is no mortal boiling noodles,contradiction,232
a small guinea hog is gnawing and eating a piece of carrot on the floor,a guinea hog is devouring a carrot,entailment,233
the women are singing and dancing,the persons are singing and dancing,entailment,234
there is no adult male playing a guitar,a adult male is singing and playing a guitar,contradiction,235
a domestic dog which is white is standing on fallen leaf,a white domestic dog is standing on fallen leaf,entailment,236
there is no adult male exercising,a girl is exercising,neutral,237
the male child who is young is running through the ocean waves,the young male child is running through the ocean waves,entailment,238
a group of football game players is running in the field,a group of football game players is standing still in the field,neutral,239
a adult male is pouring liquid into a pot,the chef is carefully drying the oil from the cooking pan,neutral,240
a man is holding a mask in his raised hand,a man elegantly dressed in black is wearing an elaborate black mask,neutral,241
the man is wildly dancing,a woman is dancing,neutral,242
a male child is studying a calendar,a male child is staring at a calendar,entailment,243
the man is not riding a horse by a creek,a man is riding a horse,neutral,244
a adult male is walking down a route,the adult male is not walking along a way through the wilderness,neutral,245
a adult male is having fun with water,a adult male is doing a card fast one,neutral,246
a adult male in a hat is standing outside of a green landrover,a adult male with no hat is standing outside of a green landrover,contradiction,247
a white domestic dog is wearing a christmas caribou headband and is playing with a brown domestic dog in the grass,the white caribou wearing domestic dog ears is near a brown caribou,neutral,248
a young male child is quickly jumping off a chair,a young male child is jumping off a chair,entailment,249
a adult male is riding a horse,there is no adult female riding a horse,neutral,250
two dogs are in a kennel on their hind legs and are facing one another,two dogs are playing with each other,neutral,251
a mortal is eating in a eatery,a mortal is making a bed,neutral,252
two race cars are on a route in front of a grassy parking country,two cars for racing are on a route in front of a grassy parking country,entailment,253
a man is being stopped on a rope bridge,a man is walking slowly across a rope bridge,neutral,254
the adult male is playing a pianoforte,a guy is cheerfully playing with a footbag,neutral,255
a girl in white is dancing,the dancer is dancing in front of the sound equipment,neutral,256
a group of people is equipped with unprotective gear,a person in biking gear is standing steadily in front of some mountains ,neutral,257
the snowboarder is jumping off a snowfall covered hill,a snowboarder is jumping off the snowfall,entailment,258
a domestic dog is swimming after a lawn tennis ball,a domestic dog is barking at a ball,neutral,259
two men are not taking a break from construction,two men are taking a break from construction,contradiction,260
there is no domestic dog in a colored coat running across the pace,a domestic dog in a colored coat is running across the pace,contradiction,261
a few people are dancing,a group of people are dancing,entailment,262
the panda bear is lying on the logs,a cute panda is not lying down,contradiction,263
the adult male is standing steadily next to a birdcage,the adult male is standing next to a bird coop,entailment,264
a yellow dog is running down a sandy path,a golden retriever is not running,neutral,265
some young dirt bikers are getting a dirt bike up a sandy hill,a young man is pushing a motocross bike down a dirt hill,neutral,266
a bride with a black veil is looking down,a woman is looking down and is wearing a wedding veil,entailment,267
a adult female is wearing a blue helmet and is riding a bike in a parking lot,there is no adult female wearing a blue helmet and riding a bike in a parking lot,contradiction,268
a woman is chopping garlic,there is no woman slicing a fish,neutral,269
a adult male is stone climbing pausing and calculating the path,a mortal is stone climbing and a metropolis and a embayment are in the background,neutral,270
paper is being cut with scissors,paper and scissors both cut,neutral,271
there is no mortal wearing grey drawers who is airborne on a snowboard,a snowboarding adult male is jumping through the air,neutral,272
a adult male is standing on a roof top and playing a fiddle,a adult male is standing on a roof,entailment,273
a adult male is jumping onto a low wall,a adult male is standing in front of a wall,neutral,274
the adult male is playing the drums,a adult male is cleaning the sink,neutral,275
the adult female is poking a tater,there is no adult male riding a bike,neutral,276
a cowgirl is riding a horse and corners a gun barrel,the brown horse is near a red gun barrel at the rodeo,neutral,277
a adult male is talking to the adult female who is seated beside him and is driving a car,the adult female and the adult male are travelling by car,entailment,278
the adult female is playing the transverse flute,the transverse flute is being played by the adult female,entailment,279
there is no milk being drunk by a true cat,the milk is being drunk by a true cat,contradiction,280
two poodles are in the snowfall and one is lying down,two poodles are in the snowfall and one is jumping high,neutral,281
three friends are making faces for the photographic camera,three friends are making faces for a picture,entailment,282
a association football participant is sitting on the field and is drinking water,a adult female is sitting on the grass and is drinking from a water bottle,neutral,283
four people are walking on a span over a organic structure of water,four people are sitting on a span over a organic structure of water,neutral,284
a adult female is slicing allium sativum,a adult female is cutting an onion,neutral,285
two people are in the snowfall wearing dress that provide disguise,two men are walking two dogs with golden coats in the snowfall,neutral,286
a young male child is playing in the parkland with his female parent,a male child in blue is running towards a adult female in blue,neutral,287
a man in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle,a racer in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle,entailment,288
a adult female is pouring eggs into a frying cooking pan,two dogs are being petted by a adult male,neutral,289
a monkey is practicing martial humanities,there is no monkey kicking a mortal,neutral,290
a dog is barking at a ball,there is no dog barking at a ball,contradiction,291
a white bird with a yellow beak is standing in the green grass,a black bird with a yellow beak is standing in the green grass,neutral,292
a football game participant in a purple jersey is running with the ball for a touchdown,a football game participant is running past an functionary carrying a football game,neutral,293
a married duet is walking up the aisle,a married duet is walking down the aisle,entailment,294
five people are standing in the grass with three dogs,five people are standing in the grass with some dogs,entailment,295
a officer is sitting tiredly on a bike,a officer is sitting on a bike,entailment,296
the rhinoceros is grazing on the grass,there is no rhinoceros grazing on the grass,contradiction,297
a adult male is eating near the kittens,some kittens are eating,neutral,298
the surfboarder is riding a small moving ridge,the surfboarder is riding a big moving ridge,contradiction,299
a white true cat perched on a small wooden cabinet is looking outside the window,the true cat perched on the table isnt looking out the window,neutral,300
one white domestic dog and one black one are sitting side by side on the grass,one white domestic dog and one black one are running side by side on the grass,neutral,301
a adult male is screaming,a adult male is scared,neutral,302
a man is opening a box with a knife,there is no man opening a box with a knife,contradiction,303
two infant pandas are playing,two pandas are not lying together,entailment,304
the woman is wearing a blue helmet and is riding a bicycle in a parking lot,the bicyclist is riding on a city street,neutral,305
a adult male with equipment used for climbing is hanging from a white vertical stone,a adult female with a ponytail is climbing a wall of stone,neutral,306
a tiger is walking around with no aim,a tiger is walking around a coop,neutral,307
a man is participating in a bmx race,a man is participating in a race for bmxs,entailment,308
one adult female is peeling a tater,the tater isnt being peeled by a adult female,contradiction,309
four athletes are with a man in a crowded stadium,four athletes are with a person in a crowded stadium,entailment,310
a adult female is sitting near a flower bed and is overlooking a tunnel,two people are standing on a bench,neutral,311
two sumo ringers are fighting,a man is riding a water toy in the water,neutral,312
four young men are standing still and a car is exploding behind them,the boys are not standing in front of the burning car,neutral,313
the association football participant is not kicking the ball between somebodys legs,a mortal is kicking a association football ball between their feet,neutral,314
two teams are competing in a baseball game game,a participant is running with the ball,neutral,315
no snake is being fed a mouse by a man,the man is cautiously feeding a mouse to the snake,contradiction,316
a little girl is playing the fiddle on a beach,the girl is standing on the sofa and crocheting,neutral,317
a ball which is green and big is knocking a tater,a large green ball is hitting a tater,entailment,318
one man is sitting steadily on the chair,one man is sitting on the chair,entailment,319
a domestic dog is looking at a shop counter,there is no domestic dog looking around,contradiction,320
there is no adult male dancing,a adult male is singing,neutral,321
the woman is waterskiing,a woman is wakeboarding on a lake,neutral,322
the little girl in a pink shirt is running under a tree in the desert,a little girl in a pink shirt is running under a tree in the desert,entailment,323
some men are sawing,there are no men sawing,contradiction,324
a family is watching a little male child who is hitting a baseball game,a family is watching a little male child who is missing a baseball game,neutral,325
there is no adult female frying something,a adult female is frying something,contradiction,326
two persons of large size are sitting on a parkland bench and they have a bottle of sal soda between them,two large persons are sitting on a parkland bench and they have a bottle of sal soda between them,entailment,327
the adult male is stone climbing,a adult male is cooking a serpent,neutral,328
a horse is leaping a hurdle and has a rider on its back,the horse is leaping over the rider at the barrier,neutral,329
a infant elephant is eating a small tree,a little girl is selling a sea scooter,neutral,330
the person isnt dicing up an orange pepper,the person is dicing up a pepper which is orange,contradiction,331
a woman is swiftly snowboarding down an incline and another woman is standing behind her,a woman is snowboarding down an incline and another woman is standing behind her,entailment,332
a brown and white dog is jumping in the air with a tennis ball in its mouth,a dog is caught mid air with a ball,entailment,333
noodles are being boiled in water by a adult female,a adult female is boiling noodles in water,entailment,334
the little male child is singing and playing the guitar,a guitar is being played by a infant,neutral,335
two dogs are running and trying to catch a association football ball,two dogs are running and trying to catch a ball,entailment,336
a adult male is cutting an onion,there is no adult male opening a door,neutral,337
a adult male with tattoos is lounging on a sofa and holding a pencil,a adult male with tattoos is lounging on a sofa and is looking for a pencil,neutral,338
a adult male is trekking in the woods,the adult male is not hiking in the woods,neutral,339
a adult male is opening a packet that contains phone,a adult male who is wearing phone is opening a packet,neutral,340
a adult male is sitting on a railroad train and resting his hand against his human face,the bearded adult male is not sitting on a railroad train,neutral,341
a brown and black domestic dog is running through the leaf,there is no domestic dog in a colored coat running across the pace,neutral,342
a white domestic dog is wearing a christmas caribou headband and is playing with a brown domestic dog in the grass,the white domestic dog wearing caribou ears is near a brown domestic dog,entailment,343
a adult female is peeling a tater,the adult male is eating tater piece,neutral,344
a adult female is cutting bean curd,a adult female is cutting onions,neutral,345
